strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
16228_1#32.contigs_velvet	Klebsiella pneumoniae	strong	66	338467	540374	5663163	yes (6189)	ambiguous_bases	ST107	1	ybt 10; ICEKp4	89-3LV	-	0	-	0	-	0	-	0	-	wzi235	KL10	*	Very high	96.71%		O1v1	O1	none	Very high	98.41%		ST107	2	1	2	17	27	1	39	3	12	4*	3	3	35*	101*	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#34.contigs_velvet	Klebsiella pneumoniae	strong	75	247449	711751	5669749	yes (4450)	ambiguous_bases	ST15	0	-	0	-	0	-	0	-	0	-	0	-	wzi151	KL48	*	High	94.78%		O1v1	O1	none	Very high	98.02%		ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#36.contigs_velvet	Klebsiella pneumoniae	strong	95	330737	803872	5813138	yes (10054)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	none	Very high	99.75%		O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#38.contigs_velvet	Klebsiella pneumoniae	strong	75	204883	594620	5539695	yes (4952)	ambiguous_bases	ST307	0	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.27%		O2v2	O2	none	Very high	98.45%		ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#39.contigs_velvet	Klebsiella pneumoniae	strong	84	247706	1021727	5616469	yes (6670)	ambiguous_bases	ST198	0	-	0	-	0	-	0	-	0	-	0	-	wzi85	KL30	*	Very high	96.45%		O1v1	O1	none	Very high	98.16%		ST198	25	33	1	26	7	1	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#3.contigs_velvet	Klebsiella pneumoniae	strong	80	294511	573001	5686157	yes (5237)	ambiguous_bases	ST478	0	-	0	-	0	-	0	-	0	-	0	-	wzi86	KL125	*	High	90.34%		O5	O5	-*	High	94.19%	O5_08_wbdC	ST478	14	1	2	1	95	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#40.contigs_velvet	Klebsiella pneumoniae	strong	56	318246	711183	5548538	yes (3907)	ambiguous_bases	ST15	0	-	0	-	0	-	0	-	0	-	0	-	wzi24	KL24	-	High	99.99%	KL24_13_wcuG	O1v1	O1	none	Very high	98.52%		ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#47.contigs_velvet	Klebsiella pneumoniae	strong	73	253789	685169	5739948	yes (5962)	ambiguous_bases	ST307	0	-	0	-	0	-	0	-	0	-	0	-	wzi173	KL102	none	Very high	99.27%		O2v2	O2	none	Very high	98.45%		ST307	4	1	2	52	1	1	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#4.contigs_velvet	Klebsiella variicola subsp. variicola	strong	26	708913	1050286	5455292	yes (6282)	ambiguous_bases	ST1023-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi20	KL20	*	High	94.80%		O3/O3a	O3/O3a	none	Very high	99.27%		ST1023-1LV	16	97	21	38	47	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#50.contigs_velvet	Klebsiella pneumoniae	strong	86	368203	736117	5512052	yes (12043)	ambiguous_bases	ST101-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	99.99%		O1v1	O1	none	Very high	98.02%		ST101-1LV	2	6	1	5	24*	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#51.contigs_velvet	Klebsiella pneumoniae	strong	67	289266	900036	5745021	yes (6483)	ambiguous_bases	ST48	4	ybt 10; ICEKp4	26-2LV	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_3-47%	wzi62	KL62	-	High	99.70%	KL62_12	O1v1	O1	none	Very high	97.87%		ST48	2	5	2	2	7	1	10	16	12	4	3	3	35*	50	3	10	9	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
16228_1#52.contigs_velvet	Klebsiella pneumoniae	strong	166	149809	504243	5956644	yes (3389)	ambiguous_bases	ST73	4	ybt 5; ICEKp6	10-1LV	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8*	wzi133	KL25	-	High	98.53%	KL25_09_wfeD	O1v1	O1	none	Very high	98.40%		ST73	2	3	4	1	12	6	19	10	8	10	7	18	4	288*-36%	7	8	5	37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
16228_1#53.contigs_velvet	Klebsiella pneumoniae	strong	86	220575	443885	5372427	yes (5473)	ambiguous_bases	ST297	0	-	0	-	0	-	0	-	0	-	0	-	wzi10	KL10	*	Very high	96.75%		O1v1	O1	none	Very high	98.02%		ST297	31	1	1	37	3	27	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#54.contigs_velvet	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	32	408125	729718	5359651	yes (3910)	ambiguous_bases	ST2558	0	-	0	-	0	-	0	-	0	-	0	-	wzi525	KL107	?-+*	None	80.40%	KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10,KL107_12,KL107_13,KL107_14,KL107_15	O4	O4	?-*	None	76.90%	O4_03_hypothetical,O4_06_glycosyltransferase	ST2558	42	22	18	22	167	13	49	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#55.contigs_velvet	Klebsiella pneumoniae	strong	120	133451	374291	5822050	yes (8358)	ambiguous_bases	ST3132	0	-	0	-	0	-	0	-	0	-	0	-	wzi267	KL142	?	Good	99.81%		O1v1	O1	none	Very high	98.33%		ST3132	2	1	1	37	10	1	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#56.contigs_velvet	Klebsiella pneumoniae	strong	57	296288	522454	5890457	yes (7368)	ambiguous_bases	ST14	3	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi2	KL2	none	Very high	99.75%		O1v1	O1	?	Good	99.96%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
16228_1#57.contigs_velvet	Klebsiella pneumoniae	strong	47	380971	709238	5393714	yes (3081)	ambiguous_bases	ST231	1	ybt 13; ICEKp2	302-3LV	-	0	-	0	-	0	-	0	-	wzi104	KL51	-	High	99.40%	KL51_14_wcoZ	O1v2	O1	none	Very high	98.44%		ST231	2	6	1	3	26	1	77	6	4	20*	61	1	126	130*	2	4	4	2*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#58.contigs_velvet	Klebsiella pneumoniae	strong	77	349059	857880	5484926	yes (7450)	ambiguous_bases	ST25	0	-	0	-	0	-	0	-	0	-	0	-	wzi72	KL2	none	Very high	98.41%		O1v2	O1	none	Very high	99.18%		ST25	2	1	1	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#59.contigs_velvet	Klebsiella pneumoniae	strong	75	366159	1463787	5719197	yes (7702)	ambiguous_bases	ST664	0	-	0	-	0	-	0	-	0	-	0	-	wzi62	KL62	none	Very high	99.82%		O1v1	O1	none	Very high	97.89%		ST664	52	1	20	2	1	1	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#5.contigs_velvet	Klebsiella pneumoniae	strong	65	209424	500379	5588368	yes (5132)	ambiguous_bases	ST340	0	-	0	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.76%		O4	O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#60.contigs_velvet	Klebsiella pneumoniae	strong	238	35793	208514	5230653	yes (200828)	ambiguous_bases	ST881	0	-	0	-	0	-	0	-	0	-	0	-	wzi72	KL2	none	Very high	98.41%		O1v2	O1	-	Good	99.03%	O1/O2v2_04_glf	ST881	2	68	1	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#61.contigs_velvet	Klebsiella pneumoniae	strong	47	363091	804926	5499864	yes (4580)	ambiguous_bases	ST218	3	-	0	-	0	iuc 1	1	iro 1	1	rmp 1; KpVP-1 (incomplete)	26-1LV	rmpA2_8-60%	wzi77	KL57	none	Very high	98.78%		O2v2	O2	none	Very high	98.67%		ST218	2	3	1	1	9	4	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	-	2	2	-
16228_1#63.contigs_velvet	Klebsiella pneumoniae	strong	39	352062	633663	5532322	yes (5942)	ambiguous_bases	ST14	0	-	0	-	0	-	0	-	0	-	0	-	wzi2	KL2	none	Very high	99.75%		O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#64.contigs_velvet	Klebsiella pneumoniae	strong	61	350528	820539	5701202	yes (13537)	ambiguous_bases	ST268	5	ybt 17; ICEKp10	234-3LV	clb 3	13-1LV	iuc 1	1-1LV	iro 1 (incomplete)	1-1LV	rmp 1; KpVP-1 (incomplete)	26-1LV	rmpA2_2*-47%	wzi95	KL20	none	Very high	99.95%		O2v1	O2	none	Very high	98.97%		ST268	2	1	2	1	7	1	81	6	15	25	4	11	28*	200*	16*	14	4	2	2	10	2	2	2	2	2*	3	2	2	2	2	2	2	2	1	1	1*	1	1	1	-	1	1	-	2	2	clbJ_19*-72%;iroC_13*-64%
16228_1#65.contigs_velvet	Klebsiella pneumoniae	strong	70	374774	727819	5577609	yes (11093)	ambiguous_bases	ST560	0	-	0	-	0	-	0	-	0	-	0	-	wzi9	KL9	none	Very high	99.98%		O2v2	O2	none	Very high	98.45%		ST560	2	3	1	1	21	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#66.contigs_velvet	Klebsiella pneumoniae	strong	58	370178	771594	5420352	yes (3785)	ambiguous_bases	ST4	0	-	0	-	0	-	0	-	0	-	0	-	wzi13	KL13	none	Very high	99.97%		O1v1	O1	none	Very high	98.70%		ST4	3	1	1	1	3	3	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#67.contigs_velvet	Klebsiella pneumoniae	strong	91	362938	867442	5816385	yes (12256)	ambiguous_bases	ST664	0	-	0	-	0	-	0	-	0	-	0	-	wzi396	KL133	-+*	None	75.92%	KL133_05_wzb,KL133_06_wzc,KL133_07_wzy,KL133_08_wcuD,KL133_09,KL133_10_wcuI,KL133_11_manC,KL133_12_manB,KL133_13_wbaZ,KL133_15_wcuA,KL133_16_wcaL,KL133_17_wzx	O1v2	O1	none	Very high	96.57%		ST664	52	1	20	2	1	1	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#68.contigs_velvet	Klebsiella pneumoniae	strong	162	150900	500714	5818448	yes (11095)	ambiguous_bases	ST1128-1LV	0	-	0	-	0	-	0	-	0	-	0	-	wzi386	KL107	?-+*	None	76.16%	KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10	OL104	OL104	?	Good	99.75%		ST1128-1LV	2	1	1	1	7	7	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#69.contigs_velvet	Klebsiella pneumoniae	strong	66	245404	803249	5553852	yes (21084)	ambiguous_bases	ST34	0	-	0	-	0	-	0	-	0	-	0	-	wzi114	KL111	none	Very high	99.84%		O3b	O3b	none	Very high	99.16%		ST34	2	3	6	1	9	7	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#6.contigs_velvet	Klebsiella pneumoniae	strong	158	370900	771204	5663446	yes (13464)	ambiguous_bases	ST101	1	ybt 9; ICEKp3	183	-	0	-	0	-	0	-	0	-	wzi137	KL17	none	Very high	100.00%		O1v1	O1	none	Very high	98.03%		ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16228_1#70.contigs_velvet	Klebsiella pneumoniae	strong	116	199660	845842	5974058	yes (6152)	ambiguous_bases	ST14	3	-	0	-	0	iuc 1	1-1LV	-	0	-	0	rmpA2_8-60%	wzi2	KL2	none	Very high	99.74%		O1v1	O1	none	Very high	99.99%		ST14	1	6	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1*	1	1	-	-	-	-	-	-	-	-
