Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# N's per 100 kbp	NGA50
34154_7_118.contigs_spades	31	27	24	20	19	16	5512287	5510042	5503320	5477081	5456051	5350017	30	1354747	5511877	5682322	57.22	57.12	367382	367382	282582	227084	4	4	8	9	19.01	-
34154_7_119.contigs_spades	65	62	52	44	33	25	5526081	5524743	5497455	5442927	5282305	5017498	63	506362	5525412	5682322	57.16	57.12	294596	294596	110333	100857	8	8	15	16	7.57	-
34154_7_11.contigs_spades	28	26	24	24	19	16	5409058	5407197	5402521	5402521	5324070	5231884	28	918181	5409058	5682322	57.28	57.12	374232	374232	312107	312107	6	6	10	10	7.69	-
34154_7_120.contigs_spades	92	84	73	65	45	32	4619609	4615019	4586985	4532693	4190701	3699749	90	530830	4618799	5682322	50.97	57.12	94844	71335	56989	23557	12	18	28	48	13.83	-
34154_7_122.contigs_spades	43	39	32	30	25	19	5397175	5395465	5376548	5361011	5296415	5084161	40	629391	5396015	5682322	57.19	57.12	326754	326754	210513	199310	7	7	12	13	12.86	-
34154_7_123.contigs_spades	75	69	55	44	34	28	5380442	5377035	5330242	5253224	5079576	4866196	72	390609	5379378	5682322	57.31	57.12	208170	203935	101289	91266	9	10	17	19	6.58	-
34154_7_124.contigs_spades	564	138	50	45	30	26	5467039	5270562	5122536	5085154	4819020	4678457	274	366753	5361721	5682322	50.62	57.12	209764	209224	114620	93524	10	11	18	20	113.58	-
34154_7_125.contigs_spades	31	21	18	18	17	16	5216363	5210917	5201944	5201944	5189503	5154858	27	827632	5214704	5682322	57.58	57.12	630789	502226	239730	198779	4	5	8	9	8.09	-
34154_7_126.contigs_spades	1175	787	471	321	122	32	10935849	10721326	9939063	8797911	5609581	2441036	1036	129969	10898470	5682322	57.38	57.12	25487	45926	13018	34576	116	41	267	76	30.23	-
34154_7_127.contigs_spades	145	130	103	84	55	35	4932062	4923102	4844762	4705018	4194790	3465264	139	224556	4929538	5682322	50.70	57.12	79147	72557	43953	23415	20	25	40	58	7.36	-
34154_7_12.contigs_spades	63	60	45	39	35	31	5472113	5470784	5421268	5386036	5330147	5198990	61	860921	5471418	5682322	57.29	57.12	219836	219836	97003	96163	8	8	18	19	7.33	-
34154_7_130.contigs_spades	60	54	43	38	32	25	5475956	5472781	5442291	5406219	5304262	5052769	57	479091	5474712	5682322	57.37	57.12	262748	222947	153187	134584	8	9	15	16	9.81	-
34154_7_131.contigs_spades	38	34	27	26	24	17	5507125	5505715	5478658	5471607	5441873	5174305	34	922410	5505715	5682322	57.22	57.12	602457	602457	209283	197644	4	4	8	9	0.02	-
34154_7_132.contigs_spades	56	46	37	35	31	25	5132217	5126507	5103665	5090043	5017693	4810650	53	489937	5131165	5682322	50.57	57.12	305399	261096	118736	89766	7	8	14	18	9.92	-
34154_7_133.contigs_spades	28	27	21	15	13	12	5036160	5035849	5017805	4980974	4952956	4923591	27	1041449	5035849	5682322	55.04	57.12	758522	515553	331732	204531	3	4	6	8	10.11	-
34154_7_134.contigs_spades	71	54	32	25	23	19	5686159	5676353	5616755	5573466	5533684	5393290	66	775111	5684292	5682322	57.14	57.12	363110	363110	231505	231505	5	5	10	10	14.11	-
34154_7_136.contigs_spades	61	56	45	41	32	24	5476065	5473713	5442858	5412732	5262031	4961424	58	576776	5474926	5682322	57.37	57.12	280266	280266	134584	128224	8	8	15	16	18.70	-
34154_7_138.contigs_spades	60	55	46	41	32	26	5476328	5473813	5442786	5407242	5249074	5035113	58	474940	5475580	5682322	57.37	57.12	222947	222947	134584	126430	9	9	16	17	18.21	-
34154_7_139.contigs_spades	338	78	44	39	26	22	5605419	5482151	5411341	5382618	5162284	5043866	171	744448	5545063	5682322	50.56	57.12	308249	308249	157331	151011	6	6	13	14	54.28	-
34154_7_13.contigs_spades	46	36	28	24	19	14	5428295	5423618	5399434	5371792	5300052	5112651	39	1115852	5425581	5682322	57.20	57.12	508183	508183	326147	243152	4	4	7	8	11.69	-
34154_7_140.contigs_spades	37	33	29	24	21	14	5577449	5575523	5564077	5530975	5477332	5249550	34	1015735	5576292	5682322	57.10	57.12	794807	391346	338422	338422	3	4	7	7	8.48	-
34154_7_141.contigs_spades	55	50	39	35	25	23	5154564	5151809	5122835	5096716	4933615	4847400	53	505209	5153776	5682322	50.73	57.12	263998	219770	151059	121968	7	9	14	17	12.92	-
34154_7_142.contigs_spades	31	29	25	20	18	16	5500495	5499659	5489009	5455987	5418245	5351538	29	1731872	5499659	5682322	57.22	57.12	424807	424807	319353	255570	3	3	7	8	0.04	-
34154_7_144.contigs_spades	71	64	48	44	36	30	5646595	5643378	5600155	5570353	5424397	5220705	67	753265	5645077	5682322	57.08	57.12	209137	209137	99653	99653	8	8	18	18	0.00	-
34154_7_146.contigs_spades	28	22	20	20	19	16	5216462	5213365	5207473	5207473	5195032	5093575	26	827835	5215635	5682322	57.58	57.12	630958	444991	352817	198762	4	5	7	9	17.14	-
34154_7_147.contigs_spades	99	90	78	67	47	31	5405999	5401093	5364740	5289804	4963039	4347753	95	507090	5404345	5682322	50.53	57.12	111572	107893	68236	55108	11	12	26	30	0.00	-
34154_7_148.contigs_spades	33	29	26	25	22	19	5551606	5549317	5542189	5535151	5484085	5388266	32	1171349	5551253	5682322	57.24	57.12	397227	397227	225180	225180	5	5	9	9	6.12	-
34154_7_14.contigs_spades	41	35	32	28	21	17	5362940	5360022	5349873	5325399	5197299	5058373	37	820190	5361330	5682322	57.14	57.12	482415	482415	247769	194115	5	5	9	10	11.90	-
34154_7_150.contigs_spades	519	131	73	59	42	31	6211351	6044250	5908156	5808485	5541049	5156468	218	663702	6102963	5682322	56.59	57.12	185957	210704	81249	96139	10	9	22	19	15.83	-
34154_7_151.contigs_spades	61	37	28	25	22	18	4932892	4920546	4903774	4881564	4822878	4682538	47	659197	4927618	5682322	50.48	57.12	356964	354285	183749	114133	6	7	10	14	25.12	-
34154_7_152.contigs_spades	42	38	29	27	22	19	5447119	5445104	5421368	5408698	5313907	5207342	39	657540	5446068	5682322	57.43	57.12	424465	375767	197625	189677	5	6	10	11	25.67	-
34154_7_153.contigs_spades	131	115	85	73	58	43	6059967	6049760	5962004	5873287	5628405	5059916	126	332738	6057870	5682322	56.60	57.12	103010	109219	71241	81311	18	16	35	31	11.37	-
34154_7_154.contigs_spades	75	62	42	36	29	24	5455673	5447968	5393474	5348590	5228401	5052740	71	958791	5454159	5682322	50.71	57.12	212475	206808	151057	114629	6	7	14	15	12.82	-
34154_7_155.contigs_spades	42	36	27	22	14	10	5449666	5447286	5423007	5392232	5278367	5144657	36	1517555	5447286	5682322	57.22	57.12	720261	720261	407965	360495	3	3	5	6	10.45	-
34154_7_158.contigs_spades	69	62	46	38	35	26	5643037	5639985	5587001	5526480	5466638	5129410	63	619348	5640853	5682322	56.99	57.12	266644	266644	114245	114245	7	7	14	14	4.41	-
34154_7_159.contigs_spades	1539	410	118	74	38	25	6224903	5689094	5140948	4846818	4294246	3830137	814	602279	5975283	5682322	50.37	57.12	109889	129333	18849	28632	13	12	47	37	74.09	-
34154_7_160.contigs_spades	47	40	31	28	25	21	5543450	5539275	5509810	5487650	5435034	5301322	45	715401	5542660	5682322	57.09	57.12	358687	294943	260511	188540	6	7	11	12	19.74	-
34154_7_161.contigs_spades	80	67	51	44	35	29	5494763	5488439	5449304	5407512	5248600	5040816	73	578391	5492036	5682322	50.46	57.12	214819	214819	123650	123293	10	10	18	19	4.02	-
34154_7_162.contigs_spades	41	36	31	25	17	12	5311712	5308520	5291176	5250695	5125432	4958546	40	1424667	5311300	5682322	57.48	57.12	584309	434966	331167	213507	3	4	7	8	23.38	-
34154_7_164.contigs_spades	62	53	42	32	27	23	5617279	5612518	5587110	5519207	5447201	5302908	58	584298	5615845	5682322	57.06	57.12	326092	326092	194364	188068	7	7	13	14	9.76	-
34154_7_166.contigs_spades	59	55	45	35	33	29	5417366	5415427	5383894	5316493	5293100	5168391	57	806751	5416585	5682322	57.29	57.12	197588	197588	113744	99745	8	8	16	18	12.52	-
34154_7_167.contigs_spades	5	2	2	0	0	0	15361	13371	13371	0	0	0	5	7917	15361	5682322	50.34	57.12	7917	-	5454	-	1	-	2	-	0.00	-
34154_7_168.contigs_spades	32	24	18	17	16	14	5455942	5452617	5436809	5431525	5421452	5360366	25	1218301	5453321	5682322	57.25	57.12	713824	515001	371455	370463	3	4	6	7	10.12	-
34154_7_169.contigs_spades	54	48	43	38	31	24	5350194	5346784	5335317	5305862	5184276	4933455	52	452554	5349386	5682322	50.60	57.12	332670	252171	175543	108241	7	8	13	15	18.39	-
34154_7_16.contigs_spades	24	21	20	20	17	13	5467956	5466625	5462065	5462065	5404497	5273691	22	1699124	5467166	5682322	57.23	57.12	661690	661690	382659	321514	3	3	5	6	6.18	-
34154_7_170.contigs_spades	102	87	73	64	53	34	4976285	4967301	4935163	4871383	4679023	3986275	96	247982	4973774	5682322	50.67	57.12	112926	103653	59787	41582	16	20	30	41	8.34	-
34154_7_172.contigs_spades	36	29	25	22	18	15	5627943	5623355	5610029	5589976	5514187	5404775	35	1521271	5627559	5682322	57.14	57.12	380055	380055	337365	337365	3	3	7	7	10.11	-
34154_7_174.contigs_spades	75	68	55	48	38	31	5616448	5613013	5583422	5533073	5357771	5107232	71	508875	5614927	5682322	57.10	57.12	185030	185030	117674	115579	10	10	19	20	0.55	-
34154_7_175.contigs_spades	62	58	42	34	30	22	4875054	4872480	4825571	4769942	4691797	4394415	62	465867	4875054	5682322	50.57	57.12	250149	191259	114822	72352	7	9	14	21	12.23	-
34154_7_176.contigs_spades	388	116	58	39	22	18	6113398	5993798	5859293	5734062	5466712	5351121	183	788051	6039954	5682322	56.73	57.12	363131	363131	203099	255483	5	5	11	10	42.88	-
34154_7_177.contigs_spades	49	40	31	30	26	22	5115289	5110184	5083754	5078596	5023414	4886031	46	573999	5113946	5682322	50.61	57.12	239157	238356	168908	162527	7	8	13	16	7.31	-
34154_7_178.contigs_spades	41	37	28	25	22	18	5448823	5447086	5420559	5401308	5347941	5227120	38	599337	5447767	5682322	57.43	57.12	396979	396979	239663	199021	6	6	10	11	33.98	-
34154_7_179.contigs_spades	82	74	61	54	39	27	5743254	5739258	5702066	5653708	5405058	5017425	78	473711	5741709	5682322	56.74	57.12	274664	274664	95916	95916	8	8	18	18	9.21	-
34154_7_182.contigs_spades	83	73	60	53	40	24	4588548	4583273	4544841	4487395	4254957	3669950	77	357529	4586193	5682322	50.63	57.12	158486	131157	71738	24829	11	15	21	41	0.04	-
34154_7_183.contigs_spades	73	63	52	46	39	30	5324353	5319905	5289162	5240377	5113000	4806561	66	433828	5321599	5682322	57.44	57.12	159382	159006	97435	81084	10	11	20	23	5.73	-
34154_7_184.contigs_spades	24	20	15	14	12	11	5460353	5458239	5438626	5431588	5398639	5364012	22	2019718	5459466	5682322	57.28	57.12	1457444	1457444	373533	363696	2	2	4	5	20.37	-
34154_7_185.contigs_spades	60	55	43	39	24	18	5593502	5591044	5556923	5525509	5290991	5102080	57	512925	5592333	5682322	57.20	57.12	333184	333184	214962	214962	7	7	12	12	24.10	-
34154_7_187.contigs_spades	56	51	45	40	28	21	5171986	5168853	5151919	5113429	4895207	4668468	55	693045	5171507	5682322	50.72	57.12	212945	212649	153932	109698	7	8	14	17	12.96	-
34154_7_188.contigs_spades	74	66	47	44	29	22	5422437	5417592	5366502	5342873	5108877	4838512	72	606826	5421512	5682322	50.70	57.12	248423	248423	151211	109756	7	7	14	16	16.88	-
34154_7_189.contigs_spades	49	43	30	26	20	16	5452239	5448590	5408507	5379251	5280227	5156518	47	1074557	5451600	5682322	57.70	57.12	715588	392495	302692	258965	3	4	7	8	0.09	-
34154_7_18.contigs_spades	38	35	28	26	25	22	5680173	5679236	5652433	5638962	5622058	5520905	35	611356	5679236	5682322	57.00	57.12	326635	326635	205535	205535	7	7	13	13	5.39	-
34154_7_190.contigs_spades	40	34	27	24	20	16	5213088	5209838	5190097	5169337	5109039	4986878	37	1471844	5211729	5682322	50.64	57.12	385778	380455	217225	162982	4	5	8	10	8.04	-
34154_7_191.contigs_spades	85	77	62	55	39	26	5284779	5280255	5239776	5188424	4907308	4446101	81	434958	5283159	5682322	57.41	57.12	188298	169020	99036	61676	10	12	19	23	0.11	-
34154_7_194.contigs_spades	83	71	48	44	41	28	5624252	5618128	5549664	5519087	5472552	5028121	78	714655	5622295	5682322	57.16	57.12	204640	204640	108988	108988	9	9	18	18	4.04	-
34154_7_195.contigs_spades	426	181	75	68	47	33	5513095	5388031	5184679	5133953	4816325	4319779	283	586267	5462049	5682322	50.50	57.12	110303	108424	62784	54721	14	15	29	32	118.66	-
34154_7_196.contigs_spades	2	1	1	0	0	0	9654	8833	8833	0	0	0	2	8833	9654	5682322	43.68	57.12	8833	-	8833	-	1	-	1	-	10.36	-
34154_7_197.contigs_spades	32	28	24	23	21	16	5447086	5444439	5430055	5423017	5395986	5211169	31	947822	5446775	5682322	57.22	57.12	428941	428941	243845	202895	5	5	8	9	1.36	-
34154_7_198.contigs_spades	2656	1364	374	189	39	11	7942761	7228327	5251442	3948589	1768125	771769	2048	128837	7738530	5682322	50.36	57.12	10331	15059	3372	8572	182	97	508	223	650.65	-
34154_7_199.contigs_spades	242	69	54	48	39	28	5494616	5423057	5383865	5342304	5172805	4779251	102	682972	5444033	5682322	57.38	57.12	170378	157721	99275	87835	9	10	20	22	33.69	-
34154_7_19.contigs_spades	47	41	31	30	22	16	5560293	5557282	5526034	5518241	5398543	5203834	45	994183	5559595	5682322	57.59	57.12	532297	532297	258965	258965	4	4	8	8	1.33	-
34154_7_202.contigs_spades	86	77	57	54	44	33	5568484	5563494	5516631	5498630	5313444	4941110	82	423706	5567136	5682322	57.05	57.12	158603	158603	82010	80975	11	11	22	23	12.20	-
34154_7_203.contigs_spades	132	55	39	33	29	22	4881971	4847522	4806600	4765786	4692075	4446138	80	817589	4863690	5682322	50.53	57.12	259848	245575	123411	72428	7	8	13	20	17.64	-
34154_7_204.contigs_spades	44	30	25	23	20	17	5349158	5343595	5326286	5310840	5256083	5160118	33	980200	5345342	5682322	57.41	57.12	713297	713297	359250	123674	4	4	6	8	2.60	-
34154_7_205.contigs_spades	131	121	96	85	62	38	5519078	5512772	5442100	5370576	5009831	4230226	128	360245	5517849	5682322	57.21	57.12	94969	94487	55197	43801	18	19	37	39	5.51	-
34154_7_206.contigs_spades	59	53	45	39	30	22	5219281	5215542	5193198	5159090	5006338	4737953	57	737804	5218462	5682322	50.73	57.12	283716	212649	135976	94603	6	7	13	16	9.95	-
34154_7_207.contigs_spades	53	46	38	32	27	23	5614070	5610304	5583593	5543912	5473962	5321672	50	792572	5612868	5682322	57.06	57.12	268948	268948	188049	188049	7	7	13	13	17.78	-
34154_7_20.contigs_spades	60	55	45	41	34	27	5475628	5473186	5443208	5409082	5284124	5026651	56	474804	5473871	5682322	57.37	57.12	203429	203429	126430	111592	9	9	17	18	5.28	-
34154_7_210.contigs_spades	47	44	33	27	25	18	5531331	5529764	5492477	5449609	5424182	5177949	46	994469	5531020	5682322	57.29	57.12	383706	383706	227017	227017	6	6	10	10	6.54	-
34154_7_211.contigs_spades	77	68	59	57	44	32	4823914	4818564	4792982	4777758	4540456	4145409	76	342942	4823526	5682322	50.82	57.12	133085	118129	81818	37842	12	16	24	35	15.80	-
34154_7_212.contigs_spades	69	61	49	43	29	24	5300027	5294128	5263071	5212974	4980587	4799580	68	982930	5299540	5682322	57.96	57.12	238327	203499	105412	99186	6	7	15	17	3.47	-
34154_7_213.contigs_spades	37	30	26	24	22	19	5678137	5674611	5665692	5652683	5624479	5529176	34	735530	5676911	5682322	56.96	57.12	367714	367714	289015	289015	6	6	10	10	23.57	-
34154_7_215.contigs_spades	103	89	65	56	44	26	5078711	5070279	5004075	4943102	4734803	4070111	100	674263	5077405	5682322	50.37	57.12	138666	131456	83957	42161	11	13	22	31	17.80	-
34154_7_216.contigs_spades	37	33	22	19	15	13	5494803	5493098	5461443	5440689	5382489	5316214	34	2168891	5493780	5682322	57.30	57.12	817205	817205	370557	370557	2	2	5	5	7.70	-
34154_7_217.contigs_spades	64	57	45	39	29	22	5458075	5453350	5419686	5377920	5232635	4997942	63	1200232	5457670	5682322	50.71	57.12	223753	223320	147566	136615	6	7	14	15	17.06	-
34154_7_218.contigs_spades	299	132	34	24	17	15	5880546	5797584	5591603	5526657	5421874	5359868	202	1104889	5845149	5682322	56.84	57.12	580601	792227	172103	206756	4	3	8	7	127.73	-
34154_7_219.contigs_spades	53	42	31	27	20	14	5704872	5697768	5667927	5641263	5550106	5376981	50	1284595	5703581	5682322	57.01	57.12	463964	463964	240518	240518	4	4	8	8	1.51	-
34154_7_221.contigs_spades	87	81	60	52	35	27	5168454	5165478	5113964	5056914	4768297	4494331	83	360239	5166763	5682322	57.59	57.12	194692	170866	133742	61785	10	12	18	23	5.07	-
34154_7_223.contigs_spades	153	109	85	72	53	30	4831955	4813621	4755435	4662472	4357771	3496294	120	267691	4820483	5682322	50.86	57.12	97478	84591	47941	30588	17	21	33	50	14.44	-
34154_7_224.contigs_spades	46	38	29	27	23	21	5409520	5405731	5378105	5362615	5292521	5225939	41	1311134	5407628	5682322	57.31	57.12	380637	380637	209639	150717	5	5	10	11	2.31	-
34154_7_225.contigs_spades	91	83	69	64	43	36	5069548	5064510	5031752	4992620	4663743	4415514	88	328486	5068483	5682322	50.70	57.12	113943	106682	74181	55907	13	16	26	34	10.24	-
34154_7_226.contigs_spades	39	35	28	26	20	13	5569646	5567924	5545070	5530409	5418783	5220354	36	772225	5568456	5682322	57.16	57.12	579329	579329	483776	483776	5	5	7	7	8.33	-
34154_7_227.contigs_spades	50	39	31	27	21	18	5624007	5618773	5592707	5563445	5461998	5352809	43	1105687	5621404	5682322	57.14	57.12	405607	405607	194702	194702	5	5	9	9	0.02	-
34154_7_22.contigs_spades	57	52	42	38	31	24	5477049	5474641	5441867	5412782	5286547	5038510	53	683596	5475322	5682322	57.37	57.12	280122	280122	153206	135680	8	8	14	15	11.41	-
34154_7_230.contigs_spades	91	79	68	62	44	32	5020392	5012781	4983383	4942880	4676668	4226189	86	320657	5018326	5682322	50.69	57.12	115807	108545	77175	47373	12	15	25	33	13.87	-
34154_7_231.contigs_spades	104	92	69	56	42	28	5637181	5631114	5571386	5488796	5256543	4779319	97	594450	5634560	5682322	57.06	57.12	185528	185528	86901	86696	10	10	21	22	5.73	-
34154_7_232.contigs_spades	43	37	26	22	16	12	5319063	5315809	5279495	5252919	5165682	5019723	41	1420277	5318360	5682322	57.47	57.12	433954	433954	349536	317625	4	4	7	8	9.82	-
34154_7_233.contigs_spades	63	58	49	45	38	30	4869085	4865590	4842987	4811661	4724198	4433426	63	352077	4869085	5682322	50.73	57.12	171797	164032	96835	63242	11	13	20	28	5.40	-
34154_7_234.contigs_spades	40	33	27	25	19	16	5624235	5620901	5600661	5588421	5487782	5391082	37	1377737	5623260	5682322	57.13	57.12	512304	512304	214910	214910	4	4	8	8	0.09	-
34154_7_235.contigs_spades	79	73	51	40	31	28	5528857	5525494	5463442	5386028	5243895	5150909	77	518468	5528213	5682322	57.24	57.12	270793	270793	107215	99745	8	8	16	17	7.54	-
34154_7_238.contigs_spades	130	120	94	79	56	36	5015207	5009087	4944318	4834802	4474432	3801958	127	261432	5014173	5682322	50.73	57.12	88854	76365	52018	29338	17	21	36	49	8.32	-
34154_7_239.contigs_spades	59	54	42	37	31	25	5477140	5474844	5442120	5404096	5296422	5071357	55	422534	5475521	5682322	57.37	57.12	222947	222947	153327	134584	9	9	16	17	17.04	-
34154_7_23.contigs_spades	43	38	33	30	22	16	5351027	5348565	5333982	5313743	5168879	4961085	40	691241	5349954	5682322	57.13	57.12	361647	346114	210188	194115	5	6	10	11	13.44	-
34154_7_240.contigs_spades	67	63	47	41	35	32	5443673	5441903	5393657	5359232	5269223	5170937	65	519297	5443007	5682322	57.30	57.12	209516	203967	107212	99745	9	10	18	20	12.49	-
34154_7_241.contigs_spades	63	58	44	40	30	26	5426123	5423157	5385467	5354702	5202017	5046481	61	723665	5425151	5682322	50.54	57.12	218736	218736	127272	106161	8	8	15	17	2.49	-
34154_7_242.contigs_spades	71	63	48	40	34	27	5748796	5744161	5713312	5647235	5556357	5269450	68	505600	5747597	5682322	56.86	57.12	362712	362712	100791	121056	7	7	15	14	11.62	-
34154_7_243.contigs_spades	1	1	1	1	0	0	12467	12467	12467	12467	0	0	1	12467	12467	5682322	43.39	57.12	12467	-	12467	-	1	-	1	-	16.04	-
34154_7_246.contigs_spades	60	52	44	39	34	27	5324315	5319392	5296885	5263244	5180983	4922996	56	423498	5322784	5682322	50.42	57.12	182018	180033	129348	99184	9	10	17	20	13.19	-
34154_7_247.contigs_spades	105	93	75	62	43	28	5667828	5661409	5614081	5516001	5195061	4681511	99	474658	5665507	5682322	57.22	57.12	171469	171469	80208	80208	11	11	22	22	8.75	-
34154_7_248.contigs_spades	48	39	26	23	19	16	5597178	5592548	5551177	5530925	5469000	5358084	44	943610	5595687	5682322	57.19	57.12	431267	431267	247401	247401	4	4	8	8	20.50	-
34154_7_249.contigs_spades	96	24	19	17	15	12	5545674	5517632	5504352	5492860	5461859	5359672	34	2509772	5523541	5682322	57.88	57.12	698084	698084	464880	328125	2	2	4	5	4.83	-
34154_7_24.contigs_spades	54	19	15	15	14	12	5406550	5392967	5378826	5378826	5368682	5294422	24	2164198	5395870	5682322	57.37	57.12	811788	811788	370514	370514	2	2	5	5	12.18	-
34154_7_251.contigs_spades	75	71	60	52	41	24	4586129	4583777	4554261	4495877	4288688	3656531	74	357583	4585729	5682322	50.63	57.12	148624	117488	72944	29868	11	15	21	40	5.36	-
34154_7_252.contigs_spades	49	43	31	27	22	16	5450989	5447691	5409851	5383623	5316062	5142784	46	1074782	5449927	5682322	57.71	57.12	715600	361805	205723	198861	3	4	8	9	4.84	-
34154_7_253.contigs_spades	86	72	55	43	27	20	5079190	5071476	5023598	4947901	4680561	4414881	82	700656	5077700	5682322	50.66	57.12	266153	211196	121267	74832	6	8	14	18	8.11	-
34154_7_254.contigs_spades	37	29	22	19	14	13	5572331	5567605	5550392	5531396	5464373	5437870	36	1500525	5571908	5682322	57.07	57.12	529663	529663	375905	369639	3	3	6	7	5.90	-
34154_7_255.contigs_spades	45	39	29	27	23	20	5546217	5543634	5514112	5498293	5434046	5338803	41	1118702	5544781	5682322	57.18	57.12	405560	405560	160984	143413	5	5	10	11	0.72	-
34154_7_258.contigs_spades	59	55	35	25	20	14	5238652	5236978	5171975	5103512	5012716	4791739	55	1341479	5236978	5682322	50.44	57.12	692795	594621	324805	115948	3	4	6	9	0.82	-
34154_7_259.contigs_spades	75	67	50	43	32	26	5706750	5702601	5655806	5604916	5429545	5207867	72	505565	5705531	5682322	56.98	57.12	333667	333667	130099	130099	7	7	14	14	7.52	-
34154_7_25.contigs_spades	51	41	33	31	24	15	5564048	5559223	5531011	5520433	5398413	5065116	43	1219891	5560876	5682322	57.13	57.12	441618	441618	303957	303957	4	4	8	8	10.47	-
34154_7_260.contigs_spades	26	17	16	16	16	13	5215401	5210767	5208807	5208807	5208807	5102165	23	828537	5214306	5682322	57.58	57.12	630957	472146	373302	352817	4	5	7	8	18.10	-
34154_7_261.contigs_spades	67	58	49	42	28	20	5016317	5011150	4985085	4940281	4710062	4415255	63	500813	5014744	5682322	50.65	57.12	354400	337526	129889	57117	6	7	12	18	7.66	-
34154_7_262.contigs_spades	54	49	39	31	28	25	5614611	5611616	5581534	5527800	5483358	5379020	53	584208	5614223	5682322	57.06	57.12	326092	326092	152814	152814	7	7	14	14	9.74	-
34154_7_263.contigs_spades	39	34	26	21	16	13	5698531	5695668	5673812	5642452	5563563	5467068	37	1718168	5697704	5682322	57.05	57.12	437143	1129498	358135	358135	3	2	6	6	2.58	-
34154_7_266.contigs_spades	55	48	40	32	29	22	4849635	4845494	4818296	4766193	4711705	4456494	52	605088	4848369	5682322	50.57	57.12	262500	191261	116250	86958	7	9	13	20	8.29	-
34154_7_267.contigs_spades	37	33	27	25	21	13	5577305	5575231	5555290	5536504	5460971	5200218	34	874685	5576176	5682322	57.11	57.12	643697	643697	350829	350829	4	4	7	7	9.56	-
34154_7_268.contigs_spades	46	43	34	31	25	21	5642947	5641285	5616435	5592574	5515211	5393132	45	705761	5642510	5682322	56.98	57.12	292764	292764	200846	200846	7	7	12	12	2.94	-
