>VFG037176(gb|YP_001844723) (plc) phospholipase C [Phospholipase C (VF0470)] [Acinetobacter baumannii ACICU]
>VFG038322(gb|YP_001144272) (ascJ) type III secretion system OM ring protein AscJ [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038323(gb|YP_001144273) (ascI) Type III secretion system inner rod protein AscI [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038324(gb|YP_001144274) (ascH) Type III secretion system protein AscH, regulator needle assembling [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038325(gb|YP_001144275) (ascG) chaperone protein [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038326(gb|YP_001144276) (ascF) Type III secretion system needle complex subunit AscF [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038327(gb|YP_001144277) (ascE) chaperone protein [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038328(gb|YP_001144278) (ascD) Type III secretion system OM ring protein AscD [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038329(gb|YP_001144279) (ascC) Type III secretion system OM ring protein AscC [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038330(gb|YP_001144280) (ascB) chaperone protein [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038331(gb|YP_001144281) (exsD) Type III secretion system protein ExsD [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038332(gb|YP_001144282) (exsA) Type III secretion system transcriptional regulator [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038333(gb|YP_001144283) (exsB) type III secretion system OM ring protein ExsB [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038334(gb|YP_001144284) (exsE) Type III secretion system regulator [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038335(gb|YP_001144285) (exsC) chaperone protein [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038336(gb|YP_001144286) (aopD) Type III secretion system translocator AopD [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038337(gb|YP_001144287) (aopB) Type III secretion system translocator AopB [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038338(gb|YP_001144288) (acrH) chaperon protein for AopB/AopD [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038339(gb|YP_001144289) (acrV) Type III secretion system tip translocon AcrV  [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038340(gb|YP_001144290) (acrG) Type III secretion system protein, LcrG-like [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038341(gb|YP_001144291) (acrR) Type III secretion system regulator, LcrR-like [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038342(gb|YP_001144292) (ascV) Type III secretion system inner membrane export apparatus protein AscV [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038343(gb|YP_001144293) (ascY) chaperone protein [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038344(gb|YP_001144294) (ascX) Unknown function, chaperoned by AscY [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038345(gb|YP_001144295) (acr2) chaperone protein [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038346(gb|YP_001144296) (acr1) Type III secretion system gatekeeper subunit  [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038347(gb|YP_001144297) (aopN) AopN, secretion control of translocators and immune suppressor [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038348(gb|YP_001144298) (ascN) Type III secretion system ATPase [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038349(gb|YP_001144299) (ascO) Type III secretion system protein AscO [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038350(gb|YP_001144300) (ascP) Type III secretion system protein AscP, needle length control, ruler protein [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038351(gb|YP_001144301) (ascQ) type III secretion system protein AscQ [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038352(gb|YP_001144302) (ascR) Type III secretion system inner membrane export apparatus protein AscR [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038353(gb|YP_001144303) (ascS) type III secretion system inner membrane export apparatus protein AscS [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038354(gb|YP_001144304) (ascT) Type III secretion system inner membrane export apparatus protein AscT [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038355(gb|YP_001144305) (ascU) Type III secretion system inner membrane export apparatus protein AscU [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038358(gb|YP_001144232) (sycH) AopH chaperone SycH [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038359(gb|YP_001144233) (aopH) Type III secretion system effector AopH, putative tyrosine phosphatase [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038360(gb|YP_001144267) (ati2) Type III secretion system effector Ati2, Inositol polyphosphate 5-phosphatase [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038361(gb|YP_001144268) (ati1) Ati2 chaperone [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038362(gb|YP_001144317) (sycO) AopO chaperone [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038363(gb|YP_001144318) (aopO) Type III secretion system effector AopO, putative serine/threonine kinase [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038364(gb|YP_001143938) (aexT) Type III secretion system effector AexT, bifunctional toxin with GTPase and ADPribosylase activity [T3SS (VF0479)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038365(gb|YP_855659) (hcp1) HcpA-like protein [T6SS (CVF782)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038367(gb|YP_855660) (vgrG1) Type VI secretion system effector VgrG1, ADP-ribosyltransferase  [VgrG1 (TX001)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038369(gb|YP_856360) (hcp) hemolysin co-regulated protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038371(gb|YP_856361) (vgrG) VgrG protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038373(gb|YP_856362) (AHA_1828) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038374(gb|YP_856363) (AHA_1829) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038375(gb|YP_856364) (AHA_1830) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038376(gb|YP_856365) (AHA_1831) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038378(gb|YP_856366) (AHA_1832) Type VI secretion system contractile sheath small subunit TssB/VipA [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038380(gb|YP_856367) (AHA_1833) Type VI secretion system contractile sheath large subunit TssC/VipB [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038381(gb|YP_856368) (AHA_1834) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038383(gb|YP_856369) (AHA_1835) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038385(gb|YP_856370) (AHA_1836) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038387(gb|YP_856371) (AHA_1837) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038389(gb|YP_856372) (AHA_1838) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038391(gb|YP_856373) (AHA_1839) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038393(gb|YP_856374) (AHA_1840) Type VI secretion system protein DotU [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038395(gb|YP_856375) (clpB) type VI secretion system ATPase ClpV1 [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038397(gb|YP_856376) (vasH/clpV) sigma-54 dependent transcriptional regulator [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038399(gb|YP_856377) (AHA_1843) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038401(gb|YP_856378) (AHA_1844) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038402(gb|YP_856379) (vasK/icmF) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038403(gb|YP_856380) (AHA_1846) Type VI secretion system protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038407(gb|YP_856382) (vgrG) VgrG protein [T6SS (SS194)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038408(gb|YP_855052) (fimA) fimbrial protein [Type I fimbriae (CVF796)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038412(gb|YP_855054) (fimC) outer membrane usher protein [Type I fimbriae (CVF796)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038416(gb|YP_855055) (fimD) fimbrial chaperone protein [Type I fimbriae (CVF796)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038420(gb|YP_855056) (fimE) fimbrial protein [Type I fimbriae (CVF796)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038424(gb|YP_855057) (fimF) fimbrial protein [Type I fimbriae (CVF796)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038428(gb|YP_858307) (tapA) type IV pilus pilin subunit, pilA-like [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038431(gb|YP_858308) (tapB) type IV pilus assembly ATPase, PilB-like [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038435(gb|YP_858309) (tapC) type IV fimbrial assembly protein, PilC-like [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038443(gb|YP_857685) (tapM) type IV pilus assembly protein PilM [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038447(gb|YP_857684) (tapN) type IV pilus biogenesis protein PilN [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038451(gb|YP_857683) (tapO) type IV pilus biogenesis protein PilO [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038455(gb|YP_857682) (tapP) type IV pilus biogenesis protein PilP [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038459(gb|YP_857681) (tapQ) type IV pilus secretin PilQ [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038463(gb|YP_858121) (tapT) twitching ATPase [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038467(gb|YP_858122) (tapU) twitching ATPase [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038471(gb|YP_857247) (tapW) twitching ATPase [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038475(gb|YP_855233) (tppA) type IV pilus pseudopilin [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038479(gb|YP_855229) (tppB) type IV pilus pseudopilin [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038483(gb|YP_001140601) (tppC) type IV pilus pseudopilin [Tap type IV pili (CVF783)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038485(gb|YP_001140602) (tppD) type IV pilus pseudopilin [Tap type IV pili (CVF783)] [Aeromonas salmonicida subsp. salmonicida A449]
>VFG038487(gb|YP_855232) (tapY1) type IV pilus biogenesis protein [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038492(gb|YP_855228) (tppE) type IV pilus pseudopilin [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038496(gb|YP_858148) (tppF) type IV pilus pseudopilin [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038500(gb|YP_857189) (tapV) type IV pilus assembly protein TapV [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038504(gb|YP_856293) (tapF) type IV pilus biogenesis/stability protein, pilW-like [Tap type IV pili (CVF783)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038508(gb|YP_856000) (flpL) Flp pilus pseudopilin [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038512(gb|YP_855999) (flpK) Flp pilus pseudopilin [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038516(gb|YP_855998) (flpJ) Flp pilus pseudopilin [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038520(gb|YP_855997) (flpI) Flp pilus assembly protein FlpI [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038524(gb|YP_855996) (flpH) Flp pilus assembly protein FlpH [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038528(gb|YP_855995) (flpG) Flp pilus assembly protein FlpG [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038532(gb|YP_855994) (flpF) traffic ATPase [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038536(gb|YP_855993) (flpE) Flp pilus assembly protein, ATPase [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038540(gb|YP_855992) (flpD) Flp pilus assembly protein FlpD [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038544(gb|YP_855991) (flpC) Flp pilus secretin FlpC [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038548(gb|YP_855990) (flpB) Flp pilus assembly protein [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038552(gb|YP_855989) (flpA) prepilin peptidase [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038556(gb|YP_855988) (flp1) Flp pilus pilin subunit [Flp type IV pili (CVF784)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038560(gb|YP_854928) (mshQ) MSHA (mannose-sensitive hemagglutinin) pili biogenesis protein MshQ [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038567(gb|YP_854927) (mshO) MSHA (mannose-sensitive hemagglutinin) pili biogenesis protein MshO [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038571(gb|YP_854926) (mshD) MSHA (mannose-sensitive hemagglutinin) pili minor prepilin protein MshD [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038575(gb|YP_854925) (mshC) MSHA (mannose-sensitive hemagglutinin) pili minor prepilin protein MshC [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038580(gb|YP_854924) (mshB) MSHA (mannose-sensitive hemagglutinin) pili minor prepilin protein MshB [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038586(gb|YP_854922) (mshG) MSHA (mannose-sensitive hemagglutinin) pili biogenesis protein MshG, GspF-like [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038589(gb|YP_854921) (mshE) ATPase protein MshE, GspE-like [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038592(gb|YP_854920) (mshN) Tetratricopeptide repeat protein, PilF-like [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038595(gb|YP_854919) (mshM) membrane protein with ATPase domain, GspA-like [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038599(gb|YP_854918) (mshL) MSHA (mannose-sensitive hemagglutinin) pili biogenesis protein MshL, outer membrane secretin, GspD-like [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038603(gb|YP_008041515) (mshK) MSHA (mannose-sensitive hemagglutinin) pili biogenesis protein MshK, periplasmic protein, GspC-like [MSHA type IV pili (VF0477)] [Aeromonas hydrophila ML09-119]
>VFG038606(gb|YP_854917) (mshJ) MSHA (mannose-sensitive hemagglutinin) pili biogenesis protein MshJ, bitopic inner membrane protein, GspM-like [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038610(gb|YP_854916) (mshI1) MSHA (mannose-sensitive hemagglutinin) pili biogenesis protein MshI1, bitopic inner membrane protein [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038614(gb|YP_854914) (mshI) MSHA (mannose-sensitive hemagglutinin) pili biogenesis protein MshI, bitopic inner membrane protein [Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038618(gb|YP_855202) (motX) sodium-type flagellar motor component [Polar flagella (CVF786)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
>VFG038622(gb|YP_855903) (fliE) flagellar hook-basal body complex protein FliE [ND (AI144)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]
