ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
16228_1#59	5315120	4811153	484693	21716	2858	0	16416
16228_1#6	5315120	4788710	490842	20856	12637	0	22931
16228_1#61	5315120	4833453	462201	19659	2152	0	17314
16228_1#63	5315120	4806146	490842	18659	2126	0	16006
16228_1#64	5315120	4857049	441846	19901	2109	0	14116
16228_1#65	5315120	4781063	516600	20015	2159	0	15298
16228_1#66	5315120	4827752	448286	20364	2388	0	36694
16228_1#67	5315120	4836510	451294	21879	3247	0	24069
16228_1#68	5315120	4750354	546337	20916	2690	0	15739
16228_1#69	5315120	4777358	518392	20188	2569	0	16801
16228_1#7	5315120	4833371	460316	19838	2632	0	18801
16228_1#70	5315120	4824961	466585	18451	2652	0	20922
16228_1#71	5315120	4807659	489648	18461	2861	0	14952
16228_1#72	5315120	4802755	493397	19877	2307	0	16661
16228_1#73	5315120	4788738	505908	20539	2668	0	17806
16228_1#74	5315120	4773611	520642	17012	2450	0	18417
16228_1#75	5315120	4419760	794708	196368	2928	0	97724
16228_1#76	5315120	4718741	572094	20251	2179	0	22106
16228_1#77	5315120	4855373	439268	19598	2254	0	18225
16228_1#78	5315120	4789951	503289	20439	2423	0	19457
16228_1#79	5315120	4808818	484730	18359	2256	0	19316
16228_1#8	5315120	4788435	505273	19338	1749	0	19663
16228_1#80	5315120	4835769	459891	18221	2653	0	16807
16228_1#81	5315120	4786175	510555	19683	2182	0	16208
16228_1#82	5315120	4770469	520495	19743	2462	0	21694
16228_1#83	5315120	4786215	504894	18967	2575	0	21436
16228_1#84	5315120	4813664	481397	17678	2596	0	17463
16228_1#85	5315120	4872199	394443	19024	2339	0	46139
16228_1#9	5315120	4831237	466512	18938	1848	0	15523
22036_8#82	5315120	4786739	511850	18932	1231	0	15300
22072_1#101	5315120	4777568	474096	18920	1678	0	61778
22072_1#102	5315120	4778449	467990	18893	1663	0	67018
22072_1#103	5315120	4800746	464724	18606	2365	0	47285
22072_1#104	5315120	4803815	445908	17404	2865	0	62532
22072_1#105	5315120	4806431	454021	18487	1440	0	53228
22072_1#106	5315120	4723727	498426	19513	2725	0	90242
22072_1#107	5315120	4808385	448653	18192	1190	0	56892
22072_1#108	5315120	1766913	1722441	143683	36643	0	1789123
22072_1#110	5315120	4804891	457257	6173	1704	0	51268
22072_1#111	5315120	4802923	457890	6170	2129	0	52178
22072_1#112	5315120	4801793	456918	6154	2361	0	54048
22072_1#113	5315120	4783906	455292	5836	2422	0	73500
22072_1#114	5315120	4803442	453717	6126	2049	0	55912
22072_1#117	5315120	4801420	446548	6181	2556	0	64596
22072_1#119	5315120	4802635	456787	6103	2150	0	53548
22072_1#120	5315120	4801756	457524	6098	2387	0	53453
22072_1#121	5315120	4802319	454634	6092	1941	0	56226
22072_1#122	5315120	4804895	455122	6092	1718	0	53385
22072_1#123	5315120	4803114	464924	6089	2100	0	44982
22072_1#124	5315120	4497267	630008	52132	5289	0	182556
22072_1#125	5315120	4807232	456659	6051	1418	0	49811
22072_1#126	5315120	4801575	438234	5942	1920	0	73391
22072_1#127	5315120	4801934	448410	5939	1713	0	63063
22072_1#128	5315120	4825536	427987	6185	1742	0	59855
22072_1#129	5315120	4802575	461356	6012	2126	0	49063
22072_1#130	5315120	4791110	451211	5697	2444	0	70355
22072_1#131	5315120	4756253	453543	5676	1990	0	103334
22072_1#132	5315120	4797763	455840	5679	1580	0	59937
22072_1#134	5315120	4793493	454279	5676	2079	0	65269
22072_1#135	5315120	4784006	462607	6165	1926	0	66581
22072_1#136	5315120	4874406	397336	5759	2215	0	41163
22072_1#137	5315120	4795434	466496	6151	902	0	52288
22072_1#138	5315120	4841866	409674	5895	2217	0	61363
22072_1#139	5315120	4795811	440184	5604	1905	0	77220
22072_1#140	5315120	4363648	582079	54855	18871	0	350522
22072_1#142	5315120	4807280	445285	5641	1419	0	61136
22072_1#143	5315120	4851833	396996	5634	3580	0	62711
22072_1#144	5315120	4829839	424799	5628	3472	0	57010
22072_1#145	5315120	4789661	457860	5744	2398	0	65201
22072_1#146	5315120	4916772	361000	5445	2236	0	35112
22072_1#147	5315120	4780560	466667	5273	1465	0	66428
22072_1#148	5315120	4787496	446521	5991	1943	0	79160
22072_1#149	5315120	4786441	437083	5753	2020	0	89576
22072_1#150	5315120	4853886	414630	5683	2054	0	44550
22072_1#151	5315120	4852788	429234	5534	1557	0	31541
22072_1#153	5315120	4873653	394322	5398	1949	0	45196
22072_1#154	5315120	4877213	400003	5396	1279	0	36625
22072_1#155	5315120	4826055	407123	5725	2033	0	79909
22072_1#157	5315120	4874805	378283	5371	1866	0	60166
22072_1#159	5315120	1651535	1544236	108395	51448	0	2067901
22072_1#160	5315120	4718121	475505	4840	2795	0	118699
22072_1#161	5315120	4263716	667771	44918	17440	0	366193
22072_1#162	5315120	4802749	456280	4386	1891	0	54200
22072_1#163	5315120	4871117	346255	4204	12567	0	85181
22072_1#164	5315120	4826633	400852	4459	2871	0	84764
22072_1#165	5315120	4820241	427440	3823	1530	0	65909
22072_1#166	5315120	4783193	459657	4115	2400	0	69870
22072_1#167	5315120	4781383	445982	4113	1155	0	86600
22072_1#168	5315120	4868601	395103	4117	1785	0	49631
22072_1#169	5315120	4835177	401500	4335	2451	0	75992
22072_1#237	5315120	4800675	459782	4231	1481	0	53182
22072_1#238	5315120	4912693	338692	2054	40309	0	23426
22072_1#239	5315120	4808431	472786	2887	1325	0	32578
22072_1#240	5315120	4794229	477656	3190	1203	0	42032
22072_1#241	5315120	4790094	488523	3152	1066	0	35437
22072_1#243	5315120	4776700	464929	2963	1389	0	72102
22072_1#245	5315120	1959390	2020089	96604	18190	0	1317451
22072_1#246	5315120	4551693	611429	35658	2569	0	149429
22072_1#247	5315120	4827073	441051	3035	1187	0	45809
22072_1#248	5315120	4821617	453979	2919	1530	0	37994
22072_1#249	5315120	4797655	472407	3014	1426	0	43632
22072_1#250	5315120	4547679	638150	35648	2101	0	127190
22072_1#94	5315120	4806519	434767	2725	1598	0	72236
22072_1#95	5315120	4801758	446743	2719	1675	0	64944
22072_1#96	5315120	4805040	456452	2630	1188	0	52440
22072_1#97	5315120	4803582	435715	3143	1440	0	74383
22072_1#98	5315120	4815144	433318	3281	1300	0	65358
22072_1#99	5315120	4783376	473341	2499	773	0	57630
34154_7#10	5315120	4803297	461019	2625	2673	0	48131
34154_7#100	5315120	4881409	414595	2788	1884	0	17232
34154_7#102	5315120	4801894	490683	2627	2301	0	20242
34154_7#103	5315120	4815001	475497	3196	2659	0	21963
34154_7#104	5315120	4790047	510012	2898	1727	0	13334
34154_7#105	5315120	4646836	647123	3002	1505	0	19656
34154_7#106	5315120	4815083	482132	2711	1534	0	16371
34154_7#108	5315120	4768750	525124	3115	2204	0	19042
34154_7#11	5315120	4715589	580541	3073	1867	0	17123
34154_7#110	5315120	4396556	811016	37916	1577	0	105971
34154_7#112	5315120	4784170	509899	2865	2899	0	18152
34154_7#116	5315120	4807369	487741	2598	1846	0	18164
34154_7#118	5315120	4794654	500077	2682	1816	0	18573
34154_7#119	5315120	4828277	466226	3040	2228	0	18389
34154_7#12	5315120	4800718	491115	2591	2346	0	20941
34154_7#122	5315120	4795991	492837	2926	2117	0	24175
34154_7#123	5315120	4778928	517167	2600	1811	0	17214
34154_7#125	5315120	4779336	516045	3081	1944	0	17795
34154_7#13	5315120	4817159	468261	3089	1843	0	27857
34154_7#130	5315120	4772240	524457	2868	2324	0	16099
34154_7#131	5315120	4888067	408546	3007	1838	0	16669
34154_7#134	5315120	4808280	487038	2679	1618	0	18184
34154_7#136	5315120	4772005	524933	2867	2145	0	16037
34154_7#138	5315120	4770019	525382	2867	2350	0	17369
34154_7#14	5315120	4782268	513228	2990	2401	0	17223
34154_7#140	5315120	4768074	529634	2293	2387	0	15025
34154_7#142	5315120	4872380	422931	2750	2272	0	17537
34154_7#144	5315120	4792290	503114	2971	2616	0	17100
34154_7#146	5315120	4781320	516003	3079	1707	0	16090
34154_7#148	5315120	4876925	419847	2785	2230	0	16118
34154_7#150	5315120	4833405	386908	1439	40299	0	54508
34154_7#152	5315120	4844114	452259	2486	1502	0	17245
34154_7#153	5315120	4442958	764061	34338	3320	0	104781
34154_7#155	5315120	4785907	509511	2400	2094	0	17608
34154_7#158	5315120	4894573	399892	2503	2106	0	18549
34154_7#16	5315120	4845479	450650	2477	2274	0	16717
34154_7#160	5315120	4759405	540142	2055	1368	0	14205
34154_7#162	5315120	4798750	498074	2397	2071	0	16225
34154_7#164	5315120	4756226	539432	2039	2157	0	17305
34154_7#166	5315120	4781591	510530	1432	2599	0	20400
34154_7#168	5315120	4835127	433233	2343	2042	0	44718
34154_7#172	5315120	4800442	489694	2230	2365	0	22619
34154_7#174	5315120	4792621	502070	2433	2644	0	17785
34154_7#176	5315120	4866212	320181	1195	38560	0	90167
34154_7#178	5315120	4844200	452417	1151	1636	0	16867
34154_7#179	5315120	4796783	486684	2091	2985	0	28668
34154_7#18	5315120	4791693	507545	2040	1798	0	14084
34154_7#183	5315120	4696495	590539	2036	1177	0	26909
34154_7#184	5315120	4840659	457785	2010	1719	0	14957
34154_7#185	5315120	4803989	488487	1899	2933	0	19711
34154_7#189	5315120	4362835	840818	36072	2076	0	109391
34154_7#19	5315120	4374342	835883	36068	2325	0	102570
34154_7#191	5315120	4645479	649895	2212	2006	0	17740
34154_7#194	5315120	4817761	474224	1816	2546	0	20589
34154_7#197	5315120	4810473	486022	1374	1634	0	16991
34154_7#199	5315120	4646743	634972	2182	4876	0	28529
34154_7#20	5315120	4774556	519222	1937	1794	0	19548
34154_7#202	5315120	4741256	550212	2141	2088	0	21564
34154_7#204	5315120	4801573	453478	1815	2038	0	58031
34154_7#205	5315120	4283486	914895	33288	2462	0	114277
34154_7#207	5315120	4753181	538791	1684	2820	0	20328
34154_7#210	5315120	4787017	506687	2006	2572	0	18844
34154_7#212	5315120	4428107	785048	29761	2529	0	99436
34154_7#213	5315120	4792397	488285	1846	2261	0	32177
34154_7#216	5315120	4838829	457094	1811	2400	0	16797
34154_7#218	5315120	4833402	365997	1461	22933	0	92788
34154_7#219	5315120	4803494	491655	1765	1805	0	18166
34154_7#22	5315120	4773832	524796	1819	1887	0	14605
34154_7#221	5315120	4646493	650402	2098	2035	0	16190
34154_7#224	5315120	4835132	460970	2102	1774	0	17244
34154_7#226	5315120	4816493	475602	2109	2216	0	20809
34154_7#227	5315120	4850116	442772	1460	3189	0	19043
34154_7#23	5315120	4771267	527526	1912	2039	0	14288
34154_7#231	5315120	4820087	472800	1822	2262	0	19971
34154_7#232	5315120	4798005	498414	1781	2472	0	16229
34154_7#234	5315120	4850373	442436	1454	3149	0	19162
34154_7#235	5315120	4804406	487834	1037	2263	0	20617
34154_7#239	5315120	4771924	523289	1816	2073	0	17834
34154_7#24	5315120	4836542	397097	1709	2620	0	78861
34154_7#240	5315120	4794431	492210	1033	2783	0	25696
34154_7#242	5315120	4753075	537802	1596	2117	0	22126
34154_7#247	5315120	4431666	788365	32817	2429	0	92660
34154_7#248	5315120	4766902	507983	2035	2342	0	37893
34154_7#249	5315120	4322447	863817	35214	3028	0	125828
34154_7#25	5315120	4822672	472030	1972	2306	0	18112
34154_7#252	5315120	4383579	837679	35267	1965	0	91897
34154_7#254	5315120	4818977	478213	1023	2021	0	15909
34154_7#255	5315120	4850895	446900	1445	2278	0	15047
34154_7#259	5315120	4762373	531720	1585	2367	0	18660
34154_7#26	5315120	4757065	536165	1598	1641	0	20249
34154_7#260	5315120	4779133	516263	2005	1778	0	17946
34154_7#262	5315120	4756159	539750	1585	2216	0	16995
34154_7#263	5315120	4942215	352395	1138	2789	0	17721
34154_7#267	5315120	4817409	476388	2088	2080	0	19243
34154_7#268	5315120	4756951	540446	1596	1764	0	15959
34154_7#269	5315120	4851609	441535	1455	2282	0	19694
34154_7#27	5315120	4758399	429832	1762	14833	0	112056
34154_7#271	5315120	4794656	497590	1760	3296	0	19578
34154_7#274	5315120	4812530	479318	1904	1686	0	21586
34154_7#276	5315120	4795191	498891	1677	2028	0	19010
34154_7#277	5315120	4786632	506935	1744	1881	0	19672
34154_7#279	5315120	4787098	509001	1664	2305	0	16716
34154_7#281	5315120	4814836	478740	1904	1612	0	19932
34154_7#283	5315120	4756532	539452	1552	1902	0	17234
34154_7#287	5315120	4702337	594612	1977	1715	0	16456
34154_7#289	5315120	4849909	444243	1395	2281	0	18687
34154_7#291	5315120	4803391	488451	1691	2183	0	21095
34154_7#294	5315120	4856144	439615	1861	1815	0	17546
34154_7#296	5315120	4787942	503131	1851	2069	0	21978
34154_7#298	5315120	4646978	651504	2005	1789	0	14849
34154_7#299	5315120	4795078	502018	1826	2406	0	15618
34154_7#3	5315120	4819718	477414	1953	1503	0	16485
34154_7#30	5315120	4805204	486807	1689	2232	0	20877
34154_7#303	5315120	4812347	472750	988	2786	0	27237
34154_7#304	5315120	4815366	480837	1231	2363	0	16554
34154_7#306	5315120	4799712	494658	1784	2242	0	18508
34154_7#307	5315120	4786908	510314	1825	2499	0	15399
34154_7#31	5315120	4796193	501941	1033	1923	0	15063
34154_7#312	5315120	4781072	515622	1945	1735	0	16691
34154_7#313	5315120	4480349	722645	34457	2425	0	109701
34154_7#316	5315120	4797848	501887	1031	1461	0	13924
34154_7#317	5315120	4890980	402063	1384	1776	0	20301
34154_7#318	5315120	4773994	524434	1734	1790	0	14902
34154_7#32	5315120	4878803	418848	1387	2866	0	14603
34154_7#322	5315120	4781158	377934	1438	18951	0	137077
34154_7#323	5315120	4823754	463800	1792	3671	0	23895
34154_7#324	5315120	4850619	442436	1331	2144	0	19921
34154_7#325	5315120	4849270	442504	1329	3059	0	20287
34154_7#33	5315120	4853185	366008	1013	31547	0	64380
34154_7#330	5315120	4738862	555949	1737	2818	0	17491
34154_7#331	5315120	4783408	515363	1146	2314	0	14035
34154_7#332	5315120	4770116	523728	1745	2983	0	18293
34154_7#333	5315120	4752844	539253	936	2564	0	20459
34154_7#338	5315120	4795166	500685	890	1622	0	17647
34154_7#339	5315120	4835511	459905	1466	3097	0	16607
34154_7#340	5315120	4764977	527155	1585	2238	0	20750
34154_7#343	5315120	4788137	507698	1696	2009	0	17276
34154_7#344	5315120	4790487	505258	1697	1713	0	17662
34154_7#345	5315120	4642587	623456	1850	3913	0	45164
34154_7#348	5315120	4716965	581446	1675	1198	0	15511
34154_7#351	5315120	4821988	472264	1197	2002	0	18866
34154_7#352	5315120	4848861	445949	1012	2593	0	17717
34154_7#353	5315120	4796709	490994	1244	2922	0	24495
34154_7#359	5315120	4813048	477571	1520	2538	0	21963
34154_7#36	5315120	4874380	420622	1263	2983	0	17135
34154_7#360	5315120	4783534	512167	1603	2638	0	16781
34154_7#361	5315120	4778352	518374	1421	2240	0	16154
34154_7#366	5315120	4842383	450469	2111	2264	0	20004
34154_7#367	5315120	4830394	462915	1827	2188	0	19623
34154_7#368	5315120	4791895	501738	1635	2189	0	19298
34154_7#369	5315120	4766885	522639	1582	2596	0	23000
34154_7#374	5315120	4853196	445133	1014	2040	0	14751
34154_7#375	5315120	4798489	491465	1634	2222	0	22944
34154_7#376	5315120	4802550	486163	1242	2344	0	24063
34154_7#378	5315120	4882494	411364	877	2118	0	19144
34154_7#379	5315120	4849035	448062	1022	1479	0	16544
34154_7#38	5315120	4772823	525195	1733	2197	0	14905
34154_7#380	5315120	4653535	638342	7153	2499	0	20744
34154_7#39	5315120	4783667	514072	1601	2446	0	14935
34154_7#4	5315120	4836621	459904	1468	1622	0	16973
34154_7#40	5315120	4803717	488073	1518	3254	0	20076
34154_7#41	5315120	4395381	711962	33843	6353	0	201424
34154_7#42	5315120	4843490	450945	854	2288	0	18397
34154_7#44	5315120	4644610	647660	1833	1937	0	20913
34154_7#46	5315120	4816925	477235	1187	2528	0	18432
34154_7#47	5315120	4767234	524976	1577	2417	0	20493
34154_7#48	5315120	4645548	649107	1832	2354	0	18111
34154_7#49	5315120	4796769	501410	916	2072	0	14869
34154_7#5	5315120	4803666	492116	1230	2534	0	16804
34154_7#50	5315120	4872854	424789	1097	1655	0	15822
34154_7#52	5315120	4746426	548439	1587	2315	0	17940
34154_7#54	5315120	4871986	427064	1099	1830	0	14240
34154_7#55	5315120	4770369	524977	1578	1895	0	17879
34154_7#56	5315120	4820738	381841	1585	3768	0	108773
34154_7#58	5315120	4868692	428224	998	1855	0	16349
34154_7#59	5315120	4779194	515923	1575	1743	0	18260
34154_7#6	5315120	4817489	475901	1791	2050	0	19680
34154_7#60	5315120	4831535	456288	1812	2014	0	25283
34154_7#62	5315120	4801202	495415	1626	1726	0	16777
34154_7#63	5315120	4833413	462113	1813	1990	0	17604
34154_7#68	5315120	4300356	894794	33889	2430	0	117540
34154_7#69	5315120	4844130	445152	1000	3460	0	22378
34154_7#70	5315120	4702511	593401	1806	1951	0	17257
34154_7#74	5315120	4803113	489270	876	1852	0	20885
34154_7#75	5315120	4883540	413805	864	2032	0	15743
34154_7#76	5315120	4887757	407704	1604	1716	0	17943
34154_7#77	5315120	4743773	554387	1677	2467	0	14493
34154_7#78	5315120	4345843	859822	33787	2024	0	107431
34154_7#8	5315120	4772588	496678	1702	2655	0	43199
34154_7#80	5315120	4767737	527595	1570	2041	0	17747
34154_7#83	5315120	4821466	477201	1496	1705	0	14748
34154_7#84	5315120	4806137	490820	879	1766	0	16397
34154_7#86	5315120	4779528	513583	1718	1521	0	20488
34154_7#87	5315120	4777354	522876	1682	1876	0	13014
34154_7#88	5315120	4747018	550736	1673	1504	0	15862
34154_7#89	5315120	4897913	403772	1234	1308	0	12127
34154_7#90	5315120	4818341	477967	1495	1976	0	16836
34154_7#91	5315120	4825022	470223	1775	1680	0	18195
34154_7#94	5315120	4757080	539977	920	1706	0	16357
34154_7#95	5315120	4782835	514118	1400	2245	0	15922
34154_7#96	5315120	4775482	524875	1713	1692	0	13071
34154_7#97	5315120	4849295	447653	1427	1678	0	16494
34154_7#98	5315120	4821940	472389	1775	1984	0	18807
Reference	5315120	5315120	0	0	0	0	0
