snp-dists 0.6.2	15966_8#21	15966_8#57	15966_8#86	15966_8#87	15966_8#88	15966_8#89	15966_8#91	15966_8#93	15966_8#95	16228_1#11	16228_1#13	16228_1#14	16228_1#15	16228_1#18	16228_1#19	16228_1#2	16228_1#21	16228_1#23	16228_1#26	16228_1#28	16228_1#29	16228_1#3	16228_1#30	16228_1#31	16228_1#32	16228_1#34	16228_1#36	16228_1#38	16228_1#39	16228_1#4	16228_1#40	16228_1#47	16228_1#5	16228_1#50	16228_1#51	16228_1#52	16228_1#53	16228_1#54	16228_1#55	16228_1#56	16228_1#57	16228_1#58	16228_1#59	16228_1#6	16228_1#61	16228_1#63	16228_1#64	16228_1#65	16228_1#66	16228_1#67	16228_1#68	16228_1#69	16228_1#7	16228_1#70	16228_1#71	16228_1#72	16228_1#73	16228_1#74	16228_1#75	16228_1#76	16228_1#77	16228_1#78	16228_1#79	16228_1#8	16228_1#80	16228_1#81	16228_1#82	16228_1#83	16228_1#84	16228_1#85	16228_1#9	22036_8#82	22072_1#101	22072_1#102	22072_1#103	22072_1#104	22072_1#105	22072_1#106	22072_1#107	22072_1#108	22072_1#110	22072_1#111	22072_1#112	22072_1#113	22072_1#114	22072_1#117	22072_1#119	22072_1#120	22072_1#121	22072_1#122	22072_1#123	22072_1#124	22072_1#125	22072_1#126	22072_1#127	22072_1#128	22072_1#129	22072_1#130	22072_1#131	22072_1#132	22072_1#134	22072_1#135	22072_1#136	22072_1#137	22072_1#138	22072_1#139	22072_1#140	22072_1#142	22072_1#143	22072_1#144	22072_1#145	22072_1#146	22072_1#147	22072_1#148	22072_1#149	22072_1#150	22072_1#151	22072_1#153	22072_1#154	22072_1#155	22072_1#157	22072_1#159	22072_1#160	22072_1#161	22072_1#162	22072_1#163	22072_1#164	22072_1#165	22072_1#166	22072_1#167	22072_1#168	22072_1#169	22072_1#237	22072_1#238	22072_1#239	22072_1#240	22072_1#241	22072_1#243	22072_1#245	22072_1#246	22072_1#247	22072_1#248	22072_1#249	22072_1#250	22072_1#94	22072_1#95	22072_1#96	22072_1#97	22072_1#98	22072_1#99	34154_7#10	34154_7#100	34154_7#102	34154_7#103	34154_7#104	34154_7#105	34154_7#106	34154_7#108	34154_7#11	34154_7#110	34154_7#112	34154_7#116	34154_7#118	34154_7#119	34154_7#12	34154_7#122	34154_7#123	34154_7#125	34154_7#13	34154_7#130	34154_7#131	34154_7#134	34154_7#136	34154_7#138	34154_7#14	34154_7#140	34154_7#142	34154_7#144	34154_7#146	34154_7#148	34154_7#150	34154_7#152	34154_7#153	34154_7#155	34154_7#158	34154_7#16	34154_7#160	34154_7#162	34154_7#164	34154_7#166	34154_7#168	34154_7#172	34154_7#174	34154_7#176	34154_7#178	34154_7#179	34154_7#18	34154_7#183	34154_7#184	34154_7#185	34154_7#189	34154_7#19	34154_7#191	34154_7#194	34154_7#197	34154_7#199	34154_7#20	34154_7#202	34154_7#204	34154_7#205	34154_7#207	34154_7#210	34154_7#212	34154_7#213	34154_7#216	34154_7#218	34154_7#219	34154_7#22	34154_7#221	34154_7#224	34154_7#226	34154_7#227	34154_7#23	34154_7#231	34154_7#232	34154_7#234	34154_7#235	34154_7#239	34154_7#24	34154_7#240	34154_7#242	34154_7#247	34154_7#248	34154_7#249	34154_7#25	34154_7#252	34154_7#254	34154_7#255	34154_7#259	34154_7#26	34154_7#260	34154_7#262	34154_7#263	34154_7#267	34154_7#268	34154_7#269	34154_7#27	34154_7#271	34154_7#274	34154_7#276	34154_7#277	34154_7#279	34154_7#281	34154_7#283	34154_7#287	34154_7#289	34154_7#291	34154_7#294	34154_7#296	34154_7#298	34154_7#299	34154_7#3	34154_7#30	34154_7#303	34154_7#304	34154_7#306	34154_7#307	34154_7#31	34154_7#312	34154_7#313	34154_7#316	34154_7#317	34154_7#318	34154_7#32	34154_7#322	34154_7#323	34154_7#324	34154_7#325	34154_7#33	34154_7#330	34154_7#331	34154_7#332	34154_7#333	34154_7#338	34154_7#339	34154_7#340	34154_7#343	34154_7#344	34154_7#345	34154_7#348	34154_7#351	34154_7#352	34154_7#353	34154_7#359	34154_7#36	34154_7#360	34154_7#361	34154_7#366	34154_7#367	34154_7#368	34154_7#369	34154_7#374	34154_7#375	34154_7#376	34154_7#378	34154_7#379	34154_7#38	34154_7#380	34154_7#39	34154_7#4	34154_7#40	34154_7#41	34154_7#42	34154_7#44	34154_7#46	34154_7#47	34154_7#48	34154_7#49	34154_7#5	34154_7#50	34154_7#52	34154_7#54	34154_7#55	34154_7#56	34154_7#58	34154_7#59	34154_7#6	34154_7#60	34154_7#62	34154_7#63	34154_7#68	34154_7#69	34154_7#70	34154_7#74	34154_7#75	34154_7#76	34154_7#77	34154_7#78	34154_7#8	34154_7#80	34154_7#83	34154_7#84	34154_7#86	34154_7#87	34154_7#88	34154_7#89	34154_7#90	34154_7#91	34154_7#94	34154_7#95	34154_7#96	34154_7#97	34154_7#98	Reference
16228_1#38	346124	248756	241069	230283	657058	331698	183158	253836	328466	817155	252269	201080	261270	240969	161566	236318	244039	233753	286194	308103	371039	262496	266234	255487	295962	257297	264215	0	234388	663853	275767	33066	173643	318035	212012	264218	287726	826835	364484	266548	318201	205932	236968	326438	245684	266231	172167	254752	251487	272995	244055	292475	262262	267284	249583	262225	318643	273223	841959	247264	174725	318607	265614	252867	273971	223703	249731	285063	268081	234451	217007	288540	271777	275492	195221	287145	199098	328125	200565	3345946	198293	199471	198417	321494	200954	231086	199814	198117	200709	196472	193796	758496	195293	285510	279470	244897	196846	280144	305806	276305	277335	308862	204146	238672	226228	283294	906334	199970	205273	220119	247748	203117	285327	340022	286256	293675	187188	79984	72140	329105	93812	3440085	339517	934245	198338	263555	313444	299556	277871	287514	206180	242191	274110	284160	188648	265593	293590	293660	3190790	692513	349014	210765	242604	713559	288948	285753	200797	280132	278231	270973	198448	177384	182698	342463	256543	348151	260870	288102	286911	818785	237682	184063	266559	312823	182356	305716	211439	255680	272113	262530	285414	253202	262512	263548	241675	251412	171950	293665	254955	54785	223138	225932	762236	255399	295295	243543	258402	208034	264896	202520	265323	281081	294486	233196	225504	277357	238882	288755	189994	244424	840690	831128	347784	286781	218284	359204	262747	282868	260452	880359	267179	254208	733399	270074	248711	121124	268412	261582	346968	282102	341811	33925	252751	227378	209009	33907	196344	262936	281475	191946	271599	768429	293664	915035	239263	823116	207361	30198	276168	260746	255816	265399	239842	341298	260217	32143	325260	239660	338275	266228	273553	236365	337289	261231	314975	32225	282562	247868	242383	346006	293575	266901	282215	214985	212258	243784	301143	223647	254821	768875	222913	71392	261261	253099	266790	199403	32673	32749	129754	273823	233169	252747	267684	190631	208918	290346	240447	240355	356405	286441	288761	31139	283766	284745	255215	271490	245142	274748	284676	246677	290880	29199	245489	283863	181391	32930	236255	370331	270142	250314	245109	867284	227897	350132	283748	289568	347555	223274	256958	168495	280630	167872	288647	274092	44353	296813	341051	284296	253204	282975	915730	35450	315476	182490	179660	285365	252511	847515	291203	288209	280872	179157	326897	241188	251415	256560	282174	345826	259945	241020	234946	226239	347132	488916
16228_1#39	260711	239918	258985	178812	695353	241260	253052	232711	283378	808503	243630	195972	242945	205302	257822	197832	281231	16172	224357	223050	342185	230065	255352	262552	297190	238985	259000	234388	0	648017	243657	236417	210208	232937	206229	220797	289496	786073	339994	249145	250314	207034	198696	238787	200333	255528	220846	164717	260870	235728	225669	255008	211336	250321	241831	204840	233297	236894	819878	245192	223773	235337	258953	226136	269134	214848	197548	240383	247752	273039	177417	243469	253794	253918	235269	276080	238739	325154	239109	3327586	236217	238245	238604	307702	238096	231350	238186	239298	236325	238704	230913	705594	234663	271834	267302	222015	233080	280377	305124	277740	278577	290905	276673	219219	285551	284116	891538	237524	248572	261858	275758	271181	284215	267225	288075	285961	234813	277642	272492	281181	285936	3422866	341219	941067	239262	299441	274465	289251	257909	267554	266057	268176	219318	290268	222147	242422	249810	287297	3175797	683949	286569	232274	209014	728545	287975	284025	240847	196228	263262	250189	232804	282530	220952	244965	228195	327894	256137	263086	284065	799510	272931	226486	255150	257985	221104	283947	254787	249429	248011	248464	255296	247469	248091	248977	224036	199150	276819	285720	248040	265680	243353	247969	772842	198550	264553	217705	240460	226837	245097	240131	247108	257522	285568	329632	247264	286533	245771	271173	230146	271667	832513	822812	336193	266967	198972	317556	248840	276290	218519	882499	247313	259554	699634	260094	235412	296527	242695	247305	336235	231999	243671	243300	235626	268645	226892	243982	234690	248440	268566	229710	249277	753053	274758	877219	227318	815242	190327	242367	254401	243181	249726	245233	337926	242094	242249	243473	300824	193179	275909	238209	267575	271613	274980	242538	281697	244372	260676	226946	249994	334842	283725	242205	260650	196664	189672	198217	291330	197038	248178	808721	195860	272714	247182	271928	302787	238874	243988	245801	308016	286556	178125	249336	247827	229116	247822	264235	247969	247550	341484	284129	280914	243107	259975	259864	273972	230650	227172	252992	233694	222983	265906	241026	199836	261787	272180	243862	201013	347056	229313	231824	272260	845326	249721	338671	271845	264054	336614	196836	248745	266623	237256	265956	262096	313227	246473	270988	242752	235536	231446	232215	884762	247169	282260	220587	270394	255433	229394	832148	301237	262555	256823	217715	259142	178882	228964	257681	257653	260532	242072	223751	199449	233203	261390	504762
16228_1#4	712424	712979	670977	615406	233455	698487	688302	694941	748778	734852	716201	657625	684586	651366	695185	645437	717138	646562	686598	699528	733830	673170	731512	645461	733708	706958	733870	663853	648017	0	696148	658828	647140	696019	654294	702128	718105	733687	743766	708123	726679	627426	646361	715596	690801	730682	666280	657434	700860	681348	690216	658226	674257	711100	715148	711165	695299	693024	699006	680036	667671	697106	733782	654743	744612	678744	637025	730679	717144	677372	594254	731839	680479	682502	669278	736670	673825	721233	674591	3283066	673164	674320	673571	767407	677772	713273	673993	673136	671682	672310	666390	325723	669565	787553	781509	650530	666512	747464	764069	744363	746373	700157	688972	634744	714934	752062	873725	677781	693577	672532	711507	710510	748381	729193	722271	671165	678582	703520	702755	702696	711911	3385730	750475	922160	674474	732781	737692	727659	682113	696668	701502	704994	643625	704214	660105	678008	737615	751967	3079908	301529	745565	667781	675182	294452	748541	752426	674810	690118	728085	677312	664092	717644	653343	697019	666064	746074	730004	712750	722766	712126	716845	658579	727373	676646	654152	715141	686386	666571	719013	684595	685265	722346	684907	685642	661416	632908	709371	653474	665430	692064	720714	678409	359766	663673	695584	663529	705003	662625	709672	672957	690785	720311	654455	764273	678156	672217	627920	698520	641101	708839	762121	755010	684793	731654	697404	759835	685736	719921	621966	481420	712539	633971	709547	732500	675337	722563	754691	683930	684783	699449	696727	670543	672111	700922	662919	670004	667846	685343	723934	662113	715801	352574	720501	783280	715088	747544	692085	666583	720785	708027	666353	710248	771453	695740	706527	670042	749626	649400	736882	756712	736713	715708	736723	707284	654837	669916	719795	662121	631908	683205	652442	714669	719714	698064	691861	658323	659292	609584	665700	749826	609036	684684	683772	667926	742914	644890	671327	671507	741674	673719	612591	692044	712512	661122	662596	713738	629511	629722	693812	720820	754438	669299	722525	779747	669821	667520	664034	679425	699774	675612	716163	667691	660959	721157	706987	669680	627808	618811	667855	672470	709545	748791	679525	686851	746778	713202	685101	609802	722893	698126	700413	698352	712859	737493	659219	721134	695815	703316	681649	698572	830161	673128	655412	654037	704911	685812	663787	746845	681885	712174	777614	651866	731919	613726	663640	653271	778076	736269	706542	661467	626862	641549	736600	959294
16228_1#40	232851	110358	267144	259371	692691	250120	292104	222479	311435	817501	117195	261644	266104	295262	263909	288679	248999	243122	273549	264616	378433	281950	115976	308744	204567	63779	118360	275767	243657	696148	0	269438	269190	272499	272177	215184	234653	821390	309254	113855	236892	265755	288912	282324	276975	115903	287776	271840	214559	310283	232517	278805	258436	115245	113229	273567	273343	42433	822208	228754	290028	275053	117407	275913	130690	269505	277286	316852	98207	270362	264031	319619	303985	304735	292213	144169	295196	380553	295713	3369366	292952	293551	294542	177320	297983	313719	293987	295703	292733	294497	287437	738436	291620	317296	309766	294226	291912	173403	204321	165329	168750	354893	288875	292882	366630	180422	917623	296713	324769	315421	228356	311436	168379	309496	199961	319191	300345	321357	316975	365497	329145	3471745	285851	935237	292700	338735	335896	149400	305955	315579	330040	329393	273877	329994	284141	265034	323551	173861	3166974	701166	239744	294797	269765	709574	165512	161332	297295	259030	262220	302056	295101	264705	278173	275767	250727	345246	114729	213642	288077	809211	298716	284312	134911	345301	278391	170730	298168	284781	223088	254472	337206	122112	254059	255116	212989	262967	274239	318228	284396	306169	354663	308304	765964	289302	334341	301395	61492	297564	70742	292278	301690	125592	317715	349315	308029	278722	296043	288845	294577	273686	846090	837557	314689	102870	291675	312009	255230	251813	295168	888496	72741	307510	677682	142438	295420	337042	290656	253402	314065	254455	274037	284757	223927	290535	297400	286196	276559	255439	340532	286321	75192	763480	228328	873309	314356	829476	301732	283379	62074	66667	285369	70348	327903	273036	63596	283697	269782	276498	234549	298032	142357	297527	233648	64122	328543	284102	130254	336569	299606	312640	316840	213808	129911	307664	297962	250207	325028	273564	284316	758230	272552	304631	253292	279624	359449	307249	284721	285835	307592	304194	262648	267293	72868	286535	325503	214393	298017	298439	327663	288027	126325	283883	129210	316981	281764	253624	216601	340476	255965	232509	216640	281688	251320	131353	271563	285576	284537	379242	253270	297709	274989	850356	310536	316268	132324	215049	314839	273714	123887	270681	299376	270237	212096	347011	279433	221118	273972	259909	223263	255292	892331	287691	329797	277787	269608	337675	248434	824961	294366	212093	313655	275004	242807	238358	248317	279363	314775	294897	63192	212388	283059	293857	295666	562263
16228_1#47	344075	262266	247090	241729	670332	325847	196144	269007	334257	825248	265523	215833	276246	255777	178402	250671	257091	235301	296305	323273	383064	278984	279914	248036	310526	268075	278524	33066	236417	658828	269438	0	185015	333599	226234	277921	301997	840540	379824	258967	331705	216230	251554	340211	239158	280013	184443	266469	245851	281218	253891	285280	255251	260003	262932	278231	334237	263720	829975	259133	187276	333435	279590	244900	285688	238105	259209	279677	264870	235686	207833	283348	265391	269739	207338	285108	210417	326724	212092	3356123	208597	210484	210646	311569	211888	244829	210483	209180	211706	208389	204096	752592	206376	298238	292318	258237	208814	293724	320302	289446	290752	315750	212708	251100	237864	296019	918181	210740	216743	232147	261897	216565	299283	353370	281575	286501	199190	92137	84356	319995	107239	3452166	329221	943019	210414	257003	322918	294581	272061	281995	217345	236008	267078	291013	199913	259567	287224	306047	3197844	704630	342583	201340	254358	706847	300314	297477	211014	276591	291814	264023	210769	191825	194082	338005	251526	360352	275565	302252	299850	831513	249233	197037	280901	303596	193980	299770	224829	270385	267520	255683	281634	267631	255636	257043	254020	260410	186673	287265	269678	66251	238363	221355	769689	267946	287088	247704	273167	217146	276100	213984	260069	277136	288170	237990	221233	268482	229753	302966	198581	232656	854861	845380	360089	281715	233485	371381	255900	291104	254667	892489	278088	242656	746283	284372	243377	125656	270782	254686	359491	297188	337400	45739	265370	238247	218047	45842	207770	256169	276507	202568	283005	782296	308377	907781	252756	837170	222194	42085	286828	275906	270603	276435	253975	336651	275497	44423	333722	231942	332235	278477	287276	247809	331319	276091	327581	44387	277894	263575	233618	358330	286859	261632	277507	229549	226240	244779	294776	235004	269541	780016	234584	64121	254271	244867	272922	207605	44457	46850	144042	287947	243619	247832	278632	202059	219685	304570	231867	231663	368363	299484	303591	43205	279776	297304	247386	264248	257516	269108	299889	238854	305002	40890	246399	278845	185607	44992	248194	383909	263078	245088	233198	855901	222655	362157	298639	303924	359468	234646	271134	185029	293059	184324	302862	281586	37523	311162	336437	299061	245986	297893	929891	47823	328252	193919	183800	281775	264994	857921	282989	302609	292724	190912	340393	256229	263698	250138	294109	361374	275247	253359	247091	218093	362806	476024
16228_1#5	313648	279777	201282	211726	691239	299436	215018	248996	315366	796595	282806	162875	254102	201314	201968	194507	257167	208981	296169	288119	367329	248219	298670	249272	283753	260065	296193	173643	210208	647140	269190	185015	0	296919	174678	287903	255660	800603	337943	298721	294791	194230	195793	305773	250272	299150	165103	246734	257649	228551	206806	269063	232967	299638	280005	272309	298410	268665	820687	264854	167155	298467	298014	239311	308297	184976	239031	294693	284144	230180	201694	297820	259745	263344	55933	302644	62350	357925	66636	3329419	60439	62290	63893	337025	65462	257809	61739	63016	63308	61883	54009	728546	60574	345196	340393	226470	57804	311688	335653	307670	307569	296314	205779	226999	220379	312918	886286	70827	198101	186553	256002	236956	315926	324832	303948	281185	179621	221936	213118	315325	232067	3420802	309956	910423	65019	262135	292276	319691	264321	275922	198859	213939	264734	251756	44245	238608	302186	324718	3182032	683286	326448	174305	216334	720211	320517	316277	63813	278186	276800	258432	56291	217759	33030	317335	229449	319412	294018	264349	304310	783297	237381	40096	297947	294828	33417	274097	71979	238563	258396	234152	230345	286169	234108	234988	215552	233759	212657	281479	237803	202961	167349	218250	764559	219068	240151	198681	254825	180436	265109	52826	228865	309443	281967	280269	218033	260389	231932	284842	179358	240927	822457	813238	318649	301693	231962	335795	234458	304667	249173	860504	267741	247810	687580	302361	206867	239075	327388	233126	317886	291722	316765	181323	226703	250457	180910	182791	46891	235056	262887	44607	266568	760024	270464	880951	242404	805265	243137	180035	270767	257462	239236	265918	271045	315606	255982	180979	311353	220395	317834	325752	305473	235806	316860	257106	317805	182226	314985	212079	235791	316381	279556	252702	314282	249885	242493	214590	288030	207644	237835	764321	206829	220900	233191	205351	261741	191798	181464	184450	255769	307519	218721	267743	268485	40818	175634	266419	234101	232885	326171	304125	306004	180615	312305	343498	207234	249346	219237	229143	293951	265776	268410	178460	216587	315829	219527	182803	225579	361706	248360	208086	241564	845863	220246	320145	298043	265294	318023	207791	288986	208116	243833	207284	264132	290433	194763	272717	315569	295059	273497	292643	885843	185033	318450	33283	217562	230578	235503	810604	275076	264303	340394	29306	302906	230618	234725	209056	341067	309851	256280	215373	224182	191003	310933	534765
16228_1#50	185087	241037	273194	241814	719061	147368	269631	237194	322190	789541	246405	254270	233308	261953	279075	258242	284117	232800	221577	35781	391336	237527	259692	281998	231656	249575	260659	318035	232937	696019	272499	333599	296919	0	265718	235909	290310	794065	263200	260601	165122	293527	258470	50664	271161	260915	278772	210615	301769	294807	302366	277223	289932	262614	242889	229853	20732	270504	839127	248173	281020	22620	260186	291752	269043	276400	265474	311272	262067	302368	283678	313681	322115	322369	320252	293862	323511	362455	324249	3339661	321200	324608	324635	329268	326212	304789	324510	323865	325342	324008	320088	744785	319810	287060	279427	304856	321142	291873	317022	284464	287004	354566	324460	283865	344774	296414	915696	327459	311514	335240	304785	291690	290333	88914	330753	387236	292374	362526	359784	353271	368618	3440379	363448	912527	322806	353010	308703	311199	324775	331638	338412	370422	294686	328146	309896	285969	318256	292908	3181089	700521	258967	340132	276283	731468	299789	296254	325189	258938	272365	317283	308998	307753	308000	67000	272042	327668	254662	201524	287852	804338	273929	310279	260540	327687	307876	233061	337449	155936	267593	288903	294899	248818	288424	289020	274905	246915	302059	363507	155378	349047	308477	275594	775700	229804	304792	264647	253863	259134	256033	323039	285535	274165	362464	364594	275610	320569	267610	253574	301293	283364	813119	803468	282501	278689	266902	282955	288627	284607	277960	866808	258917	283599	665234	264228	262882	373594	255562	287501	282088	202489	65930	328566	286678	270002	259684	328622	322069	289476	302025	317708	269653	715304	212060	879923	260700	795761	268147	324878	272634	257813	156863	255891	352882	64815	255772	328909	272399	281958	240649	253601	266019	272969	239741	256369	299496	328774	275549	254627	271938	280126	361639	262336	276335	275556	269480	272568	369225	259511	155969	790772	258290	367721	287645	312137	341759	315345	329193	330011	385718	346514	248892	260481	258083	316762	275434	201727	269696	268976	291748	288242	280782	327510	276732	270484	313838	249864	278849	294508	204168	237911	203444	325355	273865	277062	311977	329589	264479	319833	247786	265400	283791	865645	277538	284468	275576	202669	283324	258745	249712	289121	253585	288649	200691	326803	341725	208855	65515	207854	245035	202396	848787	330793	300431	307217	309974	295103	218514	790971	334989	199998	267057	304915	171425	266907	218771	293288	267686	83172	255679	275057	263521	306731	83499	557090
16228_1#51	294833	261816	215142	193476	703534	268289	228453	269342	304625	771975	266536	48276	246913	165676	192696	158617	266770	205489	282185	257505	346983	254735	282662	281505	264291	254495	280624	212012	206229	654294	272177	226234	174678	265718	0	298567	276201	789794	331010	280850	273835	189952	160401	276735	236361	283054	185086	212863	273297	200803	222470	251545	227397	282109	262903	271454	267148	268391	802239	275095	187499	268152	283797	250996	291092	70426	213602	277232	283561	236820	210508	279713	273400	278116	201554	308941	206310	362446	209482	3314493	203882	206739	206978	341197	209073	256203	206855	207774	207117	206092	199950	708282	202633	340756	334357	209086	202039	305557	325420	298744	302608	285628	228836	235609	240686	307821	889300	209674	218700	245438	274141	252408	305149	300285	318233	276868	200102	258595	252192	291706	269971	3409848	334749	908397	206977	281114	288813	324484	278567	289568	228074	259027	248399	267384	191016	213727	283932	310000	3166768	700981	320335	217366	210825	737380	313709	309790	208593	284537	297767	272446	196563	219532	184315	290487	199675	317958	278036	263953	285548	758475	238682	180728	281355	264278	183608	268716	215488	203384	292162	205609	245067	270453	205005	206117	228280	194588	212561	276168	202016	243000	255733	219762	757572	227348	255414	201002	250703	204318	259669	203729	221574	296060	276332	296774	219428	251056	263423	263448	211463	247446	783143	774088	307397	301483	236896	305688	206812	308422	260311	858611	262333	277345	676935	286899	200989	279364	321815	204681	306437	295484	288780	221149	240705	243077	204325	222419	198151	206138	257066	194508	264537	744082	271132	883390	267693	765690	232964	219347	269514	254246	203943	260175	268828	288539	252641	222127	311177	213289	305964	317853	290557	237396	304847	253437	284167	221300	296813	205943	266682	304598	274599	287999	296679	240300	237579	208974	282413	213528	202688	808429	212299	259687	204400	223525	282748	224543	222568	223039	291818	290266	198076	271783	262532	191942	206141	264950	265167	264338	314287	283650	304702	220063	297765	336752	225721	261762	232802	244141	298052	250150	266907	218460	211751	297938	221625	221571	224686	334246	261171	201252	248351	827541	221906	308515	299228	265065	306906	213300	271278	198231	252274	197187	263499	290152	232843	272060	288375	299619	257810	296737	871107	224248	285016	184047	219775	245673	224382	770632	264548	263620	334009	180966	281348	213698	224758	225801	334738	277461	252328	228719	223236	226390	278226	561475
16228_1#52	240339	186090	278829	219100	693551	230798	309069	173984	322010	815947	192311	287694	264575	248835	305390	241417	288151	220532	159470	225421	326060	226023	207408	283337	254003	198259	208336	264218	220797	702128	215184	277921	287903	235909	298567	0	255896	802225	329456	206233	224084	282898	242661	246430	242505	206888	250475	215588	215070	277739	257156	298505	275156	209371	189069	193203	236378	211767	831365	208193	251155	237950	206153	301854	216652	311666	241544	280516	196265	294798	250283	283029	327267	328652	310105	231127	310869	388521	313482	3326171	313452	313651	312329	265240	311531	259454	310785	312692	311069	310475	306981	755620	307158	256404	249772	314451	308890	238343	269796	233074	236325	332385	302708	260792	330578	246340	895823	317729	287429	284201	221938	326797	237974	273765	265515	371027	263546	309713	307761	356851	319319	3428366	337040	919017	311454	328584	316672	244135	327269	334249	312052	356451	265217	316513	299475	275033	288513	242045	3149917	684697	267045	322854	259751	740273	247472	245054	313886	239539	212750	322611	310614	321746	297389	258020	260833	327619	202189	192913	254850	824802	294175	302048	207803	338515	297771	234070	328771	284376	212344	278004	332171	195075	277876	278523	241832	239276	314297	362064	283993	295167	297238	295975	770832	285818	341661	310949	194684	286959	202002	311721	344531	220767	361655	372074	295620	286650	265445	273997	259833	300964	845337	835986	325920	211847	207163	318603	279107	236948	293650	853685	203991	280652	679482	213710	331374	337884	223790	277050	325722	169842	256660	274750	252722	263756	287080	274262	311276	278541	359815	306198	212178	744575	207791	869718	254162	828341	211178	272350	214736	198533	285222	201416	382057	256275	196628	271046	251415	281183	249235	221607	213772	293010	248774	196709	303178	273187	221864	310354	269101	324898	360791	205328	222733	218315	211221	256878	368505	237758	283429	800115	236846	312217	276734	313240	366868	268927	272995	275123	329134	300756	222248	267320	204107	305698	314511	193179	267044	267010	335736	252228	212934	273367	222609	239135	314875	284670	245047	333112	171566	201136	195192	271307	258352	223451	323933	274233	254280	369829	284559	332767	301883	859587	298299	328327	208549	194168	326986	237538	196782	312198	309250	312317	192383	319868	286983	200401	256180	175345	208271	170814	884152	276737	304409	297360	321949	332819	238820	822494	300407	191862	235257	295139	229028	261778	238986	297014	236319	262250	196606	241230	253250	321843	262621	555184
16228_1#53	250140	235310	281656	285293	710188	271298	309596	186951	351453	835216	241425	267596	293155	272380	285126	265249	303302	289742	286283	280983	373000	230681	239338	301696	236638	219727	238641	287726	289496	718105	234653	301997	255660	290310	276201	255896	0	843428	321779	256132	237175	259402	267232	295364	312744	240050	270646	287705	249475	272663	274835	323004	247290	256664	237819	272284	291694	229186	874755	258743	272883	292108	239318	270218	234622	291893	304595	350697	243512	312578	274336	353441	298273	297201	280043	276457	286351	424567	287586	3339138	283113	283385	284333	310518	286462	313345	286285	283814	284576	283699	277143	786662	284580	378256	370766	302739	282440	271769	300073	261699	267400	342053	299198	297145	346925	276992	898875	288204	308632	295613	283616	330619	269626	328273	286651	324774	285309	302675	297692	390072	314629	3439572	186213	946013	284771	318833	342378	292987	300412	309359	332067	301153	322624	323849	271569	309412	359568	273658	3118669	703078	259592	297982	260276	761420	278387	274443	287415	296077	232232	293187	283594	300792	264818	313199	302930	369285	250855	243639	310377	852241	309933	265362	238272	369823	263903	233800	296917	324398	223327	308478	340483	243529	308683	309229	236375	285720	295507	339324	323865	286583	322842	321509	779527	290953	350423	332800	213231	289530	222331	279260	337608	251532	338429	364034	320863	307644	317726	315644	269440	330471	872704	863161	339404	260654	283002	331489	310182	258648	321452	879985	225635	331444	690833	248338	320388	351644	357455	307701	339428	258914	311975	298130	247743	283060	289806	298611	278155	309699	362013	273991	229500	783628	258022	908981	292802	855929	290024	296234	232915	217927	325237	222722	330779	311540	214571	296498	312835	320358	239297	354031	264134	308873	238644	215317	349227	298028	252811	348329	320630	337525	337661	214696	252900	295265	291532	259644	344830	278023	323519	783598	277189	303246	307774	299306	367413	284922	296930	299083	321305	333202	285534	294560	225442	272746	311116	245166	319229	318261	353725	310298	231807	296798	253481	339705	301128	297192	239912	373814	259952	267213	248311	295063	262360	254988	304248	297392	272057	398776	297003	320601	331725	904693	323497	341929	226261	245099	339220	277874	244555	296004	301396	295135	244117	333410	310759	246316	311745	263476	274204	259342	894985	300368	350375	264721	302601	341035	269061	848857	320349	243327	336281	261562	244480	263091	269927	311372	337222	272273	214882	235967	270949	305872	273511	600561
