Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	ST Complex	Lineage	Subspecies	adk	fumC	gyrB	icd	mdh	purA	recA
ESC_AA2087AA	IMT14127	traces-0kSgyud;7GeneMLST;ND;;NA		Companion animal	Cat	2007				Europe	Germany							IMT FU-Berlin					Pathogen	UPEC		UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2087AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2088AA	E28	traces-0HTTeFB;7GeneMLST;ND;;NA		Human	Human	2002				Europe	Spain			Madrid				Microbiology, Hospital Ramon y Cajal (IRYCIS)				A		ESBL CTX-M-14		UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2088AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2089AA	BF 131301	traces-0HjWscl;7GeneMLST;ND;;NA		Companion animal	Cat	2009				Europe	France							IMT FU-Berlin		On.t.	NM		Pathogen	UPEC		UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2089AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2090AA	PC 010211-10A	traces-0xXMxgq;7GeneMLST;ND;;NA		Water/River	Water	2011				Europe	France			Besancon				Pascal Cholley, CHU Besancon								None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2090AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2091AA	E10096	traces-0OvJPyD;7GeneMLST;ND;;NA		Human		2001				Europe	Germany			Cologne				G. Plum								None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2091AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA7808AA	BIDMC98	SRR2127780;ILLUMINA;Paired;771;SRX1118588,SRR2135455;ILLUMINA;Paired;180;SRX1118249,SRR2127407;ILLUMINA;Paired;180;SRX1118249,SRR2131466;ILLUMINA;Paired;771;SRX1118588,SRR9900611;OXFORD_NANOPORE;Single;;SRX6652471	Human	Human	Homo sapiens	2014												Broad Institute	Escherichia coli								PRJNA271899	SRP051949		SAMN03280208	SRS1011230	2015-08-27	2015-07-25	ESC_AA7808AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA7810AA	MGH121	SRR2127727;ILLUMINA;Paired;484;SRX1118537,SRR2135502;ILLUMINA;Paired;484;SRX1118537,SRR2127358;ILLUMINA;Paired;180;SRX1118197,SRR2135144;ILLUMINA;Paired;180;SRX1118197,SRR2127564;ILLUMINA;Paired;484;SRX1118392,SRR9214000;OXFORD_NANOPORE;Single;;SRX5984830	Human	Human	Homo sapiens	2014												Broad Institute	Escherichia coli								PRJNA271899	SRP051949		SAMN03280205	SRS1011189	2015-08-27	2015-07-25	ESC_AA7810AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA4186AA	910-sc-1872589	ERR587005;ILLUMINA;Paired;250;ERX545013																THE SANGER CENTER	Escherichia coli								PRJEB5708	ERP005129		SAMEA2385694	ERS411996	2015-08-27	2014-08-28	ESC_BA4186AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA5066AA	upec-273	SRR1314503;ILLUMINA;Paired;;SRX560520	Human	Human	patient with urinary tract infection; Homo sapiens	2012				North America	United States	Washington						UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02802100	SRS624817	2015-08-27	2014-10-26	ESC_BA5066AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA5408AA	blood-09-0949	SRR1314258;ILLUMINA;Paired;;SRX560275	Human	Human	blood from patient with bacteremia; Homo sapiens	2009				North America	United States							UNIVERSITY OF WASHINGTON	Escherichia coli								PRJNA248737	SRP042632		SAMN02801855	SRS624571	2015-08-27	2014-10-26	ESC_BA5408AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA5840AA	eo721	ERR486694;ILLUMINA;Paired;250;ERX452526																THE SANGER CENTER	Escherichia coli								PRJEB5065	ERP004424		SAMEA2272853	ERS380248	2015-08-27	2014-05-14	ESC_BA5840AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA5841AA	eo168	ERR486693;ILLUMINA;Paired;250;ERX452525																THE SANGER CENTER	Escherichia coli								PRJEB5065	ERP004424		SAMEA2272846	ERS380241	2015-08-27	2014-05-14	ESC_BA5841AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA6187AA	eo722	ERR474037;ILLUMINA;Paired;219;ERX439868																THE SANGER CENTER	Escherichia coli								PRJEB5065	ERP004424		SAMEA2272854	ERS380249	2015-08-27	2014-05-14	ESC_BA6187AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA6194AA	eo433	ERR474034;ILLUMINA;Paired;219;ERX439865																THE SANGER CENTER	Escherichia coli								PRJEB5065	ERP004424		SAMEA2272850	ERS380245	2015-08-27	2014-05-14	ESC_BA6194AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA6575AA	eo3128	ERR439728;ILLUMINA;Paired;250;ERX406391																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205517	ERS358028	2015-08-27	2014-05-14	ESC_BA6575AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA6900AA	eo578	ERR435071;ILLUMINA;Paired;250;ERX401346																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204957	ERS357468	2015-08-27	2014-05-14	ESC_BA6900AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA7124AA	eo1703	ERR435237;ILLUMINA;Paired;227;ERX401512																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205201	ERS357712	2015-08-27	2014-05-14	ESC_BA7124AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA7420AA	eo1317	ERR435383;ILLUMINA;Paired;227;ERX401658																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205704	ERS358215	2015-08-27	2014-05-14	ESC_BA7420AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_BA7920AA	eo652	ERR434298;ILLUMINA;Paired;228;ERX400573																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204869	ERS357380	2015-08-27	2014-05-14	ESC_BA7920AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA0579AA	E 1101	ERR119473;ILLUMINA;Paired;239;ERX095745																THE SANGER CENTER	Escherichia coli								PRJEB2796	ERP001074		SAMEA1317874	ERS077669	2015-08-27	2012-05-18	ESC_CA0579AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA1593AA	MS 175-1	SRR088913;ILLUMINA;Paired;260;SRX036774	Human		Homo sapiens; terrestrial biome [ENVO:00000446]; human-associated habitat [ENVO:00009003]; biological product [ENVO:02000043]; gastrointestinal_tract													The Genome Institute at Washington University School of Medicine	Escherichia coli								PRJNA47263	SRP004999		SAMN00189173	SRS150855	2015-08-27	2011-01-03	ESC_CA1593AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA1597AA	MS 116-1	SRR088906;ILLUMINA;Paired;260;SRX036767	Human		Homo sapiens; terrestrial biome [ENVO:00000446]; human-associated habitat [ENVO:00009003]; biological product [ENVO:02000043]; gastrointestinal_tract													The Genome Institute at Washington University School of Medicine	Escherichia coli								PRJNA47229	SRP004991		SAMN00189165	SRS150847	2015-08-27	2011-01-29	ESC_CA1597AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA5068AA	EuSCAPE_FR076	ERR1205075;ILLUMINA;Paired;461;ERX1277317																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3500061	ERS807210	2016-01-14	2016-01-13	ESC_CA5068AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA5097AA	EuSCAPE_SK035	ERR1204985;ILLUMINA;Paired;485;ERX1277227																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3498971	ERS806120	2016-01-14	2016-01-13	ESC_CA5097AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA5468AA	EuSCAPE_DE065	ERR1217011;ILLUMINA;Paired;494;ERX1289224																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3512092	ERS819241	2016-01-20	2016-01-20	ESC_CA5468AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA5705AA	C-0863N0030	ERR1148553;ILLUMINA;Paired;700;ERX1227557																The Roslin Institute	Escherichia coli								PRJEB11950	ERP013380		SAMEA3681645	ERS988794	2016-02-01	2016-02-01	ESC_CA5705AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA9800AA	EC-5-M4	ERR1263950;ILLUMINA;Paired;500;ERX1335557	Laboratory	Laboratory	laboratory; laboratory	2015				Europe	United Kingdom							PUBLIC HEALTH ENGLAND	Escherichia coli								PRJEB12745	ERP014244		SAMEA3872801	ERS1059935	2016-04-16	2016-04-15	ESC_CA9800AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA9801AA	EC-5-M3	ERR1263949;ILLUMINA;Paired;500;ERX1335556	Laboratory	Laboratory	laboratory; laboratory	2015				Europe	United Kingdom							PUBLIC HEALTH ENGLAND	Escherichia coli								PRJEB12745	ERP014244		SAMEA3872800	ERS1059934	2016-04-16	2016-04-15	ESC_CA9801AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA9802AA	EC-5-M2	ERR1263948;ILLUMINA;Paired;500;ERX1335555	Laboratory	Laboratory	laboratory; laboratory	2015				Europe	United Kingdom							PUBLIC HEALTH ENGLAND	Escherichia coli								PRJEB12745	ERP014244		SAMEA3872799	ERS1059933	2016-04-16	2016-04-15	ESC_CA9802AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA9803AA	EC-5-M1	ERR1263947;ILLUMINA;Paired;500;ERX1335554	Laboratory	Laboratory	laboratory; laboratory	2015				Europe	United Kingdom							PUBLIC HEALTH ENGLAND	Escherichia coli								PRJEB12745	ERP014244		SAMEA3872798	ERS1059932	2016-04-16	2016-04-15	ESC_CA9803AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_CA9804AA	EC-5	ERR1263946;ILLUMINA;Paired;500;ERX1335553	Human	Human	ND	2012				Europe	United Kingdom							PUBLIC HEALTH ENGLAND	Escherichia coli								PRJEB12745	ERP014244		SAMEA3872797	ERS1059931	2016-04-16	2016-04-15	ESC_CA9804AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA1134AA	MOD1-EC5069	SRR3951679;ILLUMINA;Paired;300;SRX1976518,SRR3466175;ILLUMINA;Paired;300;SRX1736060,SRR4101520;ILLUMINA;Paired;300;SRX2068923,SRR3957125;ILLUMINA;Paired;300;SRX1981215	Companion Animal	Canine	Canis lupus; canine, dog_Feces	2004	2			North America	United States	Michigan						FDA Center for Food Safety and Applied Nutrition	Escherichia coli								PRJNA230969	SRP058582		SAMN04279406	SRS1416907	2016-04-29	2015-01-01	ESC_DA1134AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA2111AA	208738	SRR3574326;ILLUMINA;Paired;;SRX1793577	Human	Human	Human; Homo sapiens	2016	1			Europe	United Kingdom							Public Health England	Escherichia coli		O162:H9						PRJNA315192	SRP071789		SAMN05163803	SRS1462946	2016-05-24	2016-05-24	ESC_DA2111AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA3604AA	0000-0058-7850	GCF_003031775;Complete Genome;;;,SRR3615372;ILLUMINA;Paired;;SRX1813326	Human	Human	blood; Homo sapiens; Age: 51; male	2016												Brigham & Women's Hospital	Escherichia coli								PRJNA278886	SRP056445		SAMN05194389	SRS1476331	2016-06-30	2016-06-06	ESC_DA3604AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA3650AA	RiKo 2340/09	SRR3492241;ILLUMINA;Paired;;SRX1752532,SRR3492240;ILLUMINA;Paired;;SRX1752532	Companion Animal		Bos taurus; healthy cow feces; gastrointestinal tract	2009												GEORG-AUGUST-UNIVERSITY GOETTINGEN, GENOMIC AND APPLIED MICROBIOLOGY, GOETTINGEN GENOMICS LABORATORY	Escherichia coli								PRJNA279119	SRP074697		SAMN02949655	SRS1429670	2016-06-30	2016-05-15	ESC_DA3650AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA3652AA	RiKo 2308/09	SRR3492237;ILLUMINA;Paired;;SRX1752530	Companion Animal		Bos taurus; healthy cow feces; gastrointestinal tract	2009												GEORG-AUGUST-UNIVERSITY GOETTINGEN, GENOMIC AND APPLIED MICROBIOLOGY, GOETTINGEN GENOMICS LABORATORY	Escherichia coli								PRJNA277619	SRP074695		SAMN02949653	SRS1429668	2016-06-30	2016-05-15	ESC_DA3652AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA4400AA	DHQPCR312	SRR3222296;ILLUMINA;Paired;;SRX1629056	Human	Human	Homo sapiens; Urine					North America	United States	New York		New York				Emory University	Escherichia coli								PRJNA296771	SRP071642		SAMN04448242	SRS1336666	2016-07-01	2016-03-29	ESC_DA4400AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA4738AA	AR_0014	SRR6277533;PACBIO_SMRT;Single;;SRX3380176,SRR3112265;ILLUMINA;Paired;;SRX1540397,GCF_002787315;Complete Genome;;;,SRR6277532;PACBIO_SMRT;Single;;SRX3380176																Centers for Disease Control and Prevention - Clinical and Environmental Branch	Escherichia coli								PRJNA292901	SRP068736		SAMN04014855	SRS1256842	2016-07-01	2016-01-15	ESC_DA4738AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA4740AA	AR_0011	GCF_002788295;Complete Genome;;;,SRR3112262;ILLUMINA;Paired;;SRX1540394,SRR6277528;PACBIO_SMRT;Single;;SRX3380172																Centers for Disease Control and Prevention - Clinical and Environmental Branch	Escherichia coli								PRJNA292901	SRP068736		SAMN04014852	SRS1256845	2016-07-01	2016-01-15	ESC_DA4740AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA4862AA	GN02169	SRR3098780;ILLUMINA;Paired;;SRX1528735	Human	Human	Homo sapiens; Bodily fluid	2003				North America	United States					36	-78.9	JCVI	Escherichia coli								PRJNA290784	SRP068372		SAMN03922922	SRS1246348	2016-07-01	2016-01-17	ESC_DA4862AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA4899AA	0000-0055-8719	SRR3095388;ILLUMINA;Paired;;SRX1525774	Human	Human	urine; Homo sapiens; Age: 68; male	2015				North America	United States	Massachusetts	Suffolk County	Boston		42.3	-71	Brigham & Women's Hospital	Escherichia coli								PRJNA278886	SRP056445		SAMN04393391	SRS1243692	2016-07-01	2016-01-13	ESC_DA4899AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA5223AA	HICF661	SRR3051075;ILLUMINA;Paired;;SRX1499637																University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357726	SRS1221173	2016-07-01	2016-01-05	ESC_DA5223AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA5242AA	HICF611	SRR3051056;ILLUMINA;Paired;;SRX1499618																University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357707	SRS1221191	2016-07-01	2016-01-05	ESC_DA5242AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA5246AA	HICF588	SRR3051052;ILLUMINA;Paired;;SRX1499614																University of Oxford	Escherichia coli								PRJNA306133	SRP067738		SAMN04357703	SRS1221195	2016-07-01	2016-01-05	ESC_DA5246AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA7336AA	C53-sc-2235935	ERR987393;ILLUMINA;Paired;500;ERX1068651																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB8667	ERP009685		SAMEA3322045	ERS697210	2016-07-01	2015-08-25	ESC_DA7336AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA7827AA	C33b-sc-2212426	ERR926425;ILLUMINA;Paired;208;ERX1005700																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB8265	ERP009326		SAMEA3281515	ERS669044	2016-07-01	2015-06-24	ESC_DA7827AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA7835AA	C30-sc-2212416	ERR926417;ILLUMINA;Paired;208;ERX1005692																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB8265	ERP009326		SAMEA3281505	ERS669034	2016-07-01	2015-06-24	ESC_DA7835AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA7871AA	2473-sc-2212378	ERR926381;ILLUMINA;Paired;208;ERX1005656																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB8265	ERP009326		SAMEA3281467	ERS668996	2016-07-01	2015-06-24	ESC_DA7871AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA9079AA	BCW_2999	SRR1815446;ILLUMINA;Paired;;SRX887818	ND	ND/Others	culture													UCD-100K	Escherichia coli								PRJNA203445	SRP022914		SAMN03358735	SRS854839	2016-07-01	2016-02-24	ESC_DA9079AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA9460AA	H21	SRR1508895;ILLUMINA;Paired;;SRX647858	Human	Human	Homo sapiens; Not blood	2012	7			Asia	Nepal							University of Oxford	Escherichia coli								PRJNA253300	SRP043586		SAMN02885351	SRS655126	2016-07-01	2014-10-08	ESC_DA9460AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA9462AA	H17	SRR1508893;ILLUMINA;Paired;;SRX647856	Human	Human	Homo sapiens; Not blood	2012	7			Asia	Nepal							University of Oxford	Escherichia coli								PRJNA253300	SRP043586		SAMN02885348	SRS655124	2016-07-01	2014-10-08	ESC_DA9462AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_DA9644AA	C00009162	ERR296631;ILLUMINA;Paired;300;ERX269964																Oxford Brookes University	Escherichia coli								PRJEB3980	ERP003232		SAMEA2081605	ERS252059	2016-07-01	2013-07-22	ESC_DA9644AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_EA0652AA	494	traces-0CztnEl;ILLUMINA;Paired;;NA	Poultry	Poultry	flies	2015				Asia	China	Shandong						 Beijing Advanced Innovation Center for Food Nutrition and Human Health, College of Veterinary Medicine, China Agricultural University, Beijing, P. R. China	Escherichia coli					NDM-1								2016-07-08	2017-01-10	ESC_EA0652AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_EA1571AA	MLST-167	SRR3929024;ILLUMINA;Paired;;SRX1958687	Human	Human	Homo sapiens; Urine	2016	2			North America	United States	Colorado						Emory University	Escherichia coli								PRJNA328507	SRP078821		SAMN05389653	SRS1569103	2016-07-22	2016-07-22	ESC_EA1571AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_EA3556AA	AR_0162	SRR5168523;ILLUMINA;Paired;500;SRX2485326,SRR4026005;ILLUMINA;Paired;;SRX2018044,GCF_002180135;Complete Genome;;;,SRR5168522;ILLUMINA;Paired;500;SRX2485326,SRR5750477;PACBIO_SMRT;Single;;SRX2950699																CDC Division of Healthcare Quality Promotion	Escherichia coli								PRJNA292902	SRP068737		SAMN04015003	SRS1613998	2016-08-15	2016-08-12	ESC_EA3556AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_EA3557AA	AR_0151	GCF_002180215;Complete Genome;;;,SRR5168508;ILLUMINA;Paired;500;SRX2485320,SRR4025999;ILLUMINA;Paired;;SRX2018038,SRR5168506;ILLUMINA;Paired;500;SRX2485320,SRR5750470;PACBIO_SMRT;Single;;SRX2950693,SRR5750471;PACBIO_SMRT;Single;;SRX2950693,SRR5168507;ILLUMINA;Paired;500;SRX2485320																CDC Division of Healthcare Quality Promotion	Escherichia coli								PRJNA292902	SRP068737		SAMN04014992	SRS1613992	2016-08-15	2016-08-12	ESC_EA3557AA	0	167	ST10 Cplx	A		10	11	4	8	8	13	2
