Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Comment	Simple Disease	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	ST Complex	Lineage	Subspecies	adk	fumC	gyrB	icd	mdh	purA	recA
ESC_AA2804AA	IMT14971	traces-0RuNJOX;7GeneMLST;ND;;NA		Companion animal	Dog	2004				Europe	Germany							IMT FU-Berlin			n.t.		Pathogen	UPEC		UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2804AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2805AA	EHU-13	traces-0dIEvZH;7GeneMLST;ND;;NA		Human	Human	2010				Europe	Spain			Vitoria-Gasteiz								A				UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2805AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2806AA	Ec992	traces-0WzZYXC;7GeneMLST;ND;;NA		Human	Human	2010				Europe	Romania			Bucharest				Molecular Epidemiology Laboratory, Cantacuzino NIRDMI				A	Pathogenic	ExPEC		blood culture	NA	NA	Bacteremia	NA	NA	2015-08-26	2015-08-26	ESC_AA2806AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2807AA	BRA4141	traces-0VZTrvN;7GeneMLST;ND;;NA		Human	Human	2008				South America	Brazil			Rio de Janeiro				CLS Microbiology						ESBL CTX-M-15		None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2807AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2808AA	BF 131372	traces-0OIJTen;7GeneMLST;ND;;NA		Companion animal	Dog	2009				Europe	France							IMT FU-Berlin			O107:H4		Pathogen	UPEC		UTI	NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2808AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2809AA	08 090	traces-0VrYyMO;7GeneMLST;ND;;NA		Human	Human	2008				Africa	Ghana			Accra				Okeke								None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2809AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2810AA	2AR	traces-0IQaIaz;7GeneMLST;ND;;NA		Human	Human	2008				Europe	Spain			Madrid				Hospital Ramon y Cajal (IRYCIS)				A	Pathogen			None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2810AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2811AA	IMT13337	traces-0vkJsdA;7GeneMLST;ND;;NA		Bird	Turkey	2007				Europe	Germany							IMT FU-Berlin			O19:Hn.t.		Pathogen	APEC		Septicemia	NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA2811AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2812AA	4MR	traces-0FfVptA;7GeneMLST;ND;;NA		Human	Human	2008				Europe	Spain			Madrid				Hospital Ramon y Cajal (IRYCIS)				A	Pathogen			None	NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA2812AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_AA2813AA	MOK611	traces-0NZPdqS;7GeneMLST;ND;;NA			Bovine	2010				Europe	Ireland							Orla Keane					Pathogen			None	NA	NA	Mastitis	NA	NA	2015-08-26	2015-08-26	ESC_AA2813AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA5809AA	eo2929	ERR486710;ILLUMINA;Paired;250;ERX452542																THE SANGER CENTER	Escherichia coli								PRJEB5065	ERP004424		SAMEA2273005	ERS380400	2015-08-27	2014-05-14	ESC_BA5809AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA5967AA	eo2921	ERR474172;ILLUMINA;Paired;219;ERX440003																THE SANGER CENTER	Escherichia coli								PRJEB5065	ERP004424		SAMEA2273004	ERS380399	2015-08-27	2014-05-14	ESC_BA5967AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA6484AA	eo1570	ERR439619;ILLUMINA;Paired;222;ERX406282																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205703	ERS358214	2015-08-27	2014-05-14	ESC_BA6484AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA6565AA	eo145	ERR439538;ILLUMINA;Paired;222;ERX406201																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204684	ERS357195	2015-08-27	2014-05-14	ESC_BA6565AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA7130AA	eo1314	ERR435231;ILLUMINA;Paired;227;ERX401506																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205147	ERS357658	2015-08-27	2014-05-14	ESC_BA7130AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA7401AA	eo144	ERR434570;ILLUMINA;Paired;226;ERX400845																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2204683	ERS357194	2015-08-27	2014-05-14	ESC_BA7401AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA7484AA	eo3515	ERR435371;ILLUMINA;Paired;227;ERX401646																THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205588	ERS358099	2015-08-27	2014-05-14	ESC_BA7484AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA8379AA	UCI 53	SRR1180980;ILLUMINA;Paired;697;SRX479865,SRR1187805;ILLUMINA;Paired;180;SRX484931,SRR1180726;ILLUMINA;Paired;697;SRX479865,SRR1187709;ILLUMINA;Paired;180;SRX484931	Human	Human	aspirate, biliary drain	2013				North America	United States	California						Broad Institute	Escherichia coli								PRJNA234126	SRP039251		SAMN02581259	SRS565100	2015-08-27	2014-03-11	ESC_BA8379AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA8400AA	2-210-07_S4_C1	SRR1186782;ILLUMINA;Paired;447;SRX484072	Human	Human	stool; Homo sapiens	2009	7			Africa	Tanzania							University of Maryland Institute for Genome Sciences	Escherichia coli								PRJNA233862	SRP039827		SAMN02687528	SRS568378	2015-08-27	2014-03-10	ESC_BA8400AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA8661AA	AZ-TG60318	SRR1178257;ILLUMINA;Paired;500;SRX477344	Poultry	Avian	packaged whole turkey	2013	3			North America	United States	Arizona	Coconino County	Flagstaff		35.2	-111.5	FOOD AND DRUG ADMINISTRATION, CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	Escherichia coli								PRJNA230968	SRP038995		SAMN02442857	SRS563013	2015-08-27	2014-02-27	ESC_BA8661AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_BA9245AA	KOEGE 131 (358a)	SRR785630;ILLUMINA;Paired;180;SRX251368,SRR958486;ILLUMINA;Paired;5000;SRX340479,SRR785629;ILLUMINA;Paired;180;SRX251368,SRR958487;ILLUMINA;Paired;5000;SRX340479	Human	Human	Homo sapiens; Urine	2006				Europe	Denmark							Broad Institute	Escherichia coli								PRJNA186274	SRP019619		SAMN01885884	SRS402245	2015-08-27	2013-08-28	ESC_BA9245AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA0463AA	E 351	ERR119390;ILLUMINA;Paired;237;ERX095662																THE SANGER CENTER	Escherichia coli								PRJEB2796	ERP001074		SAMEA1317778	ERS077586	2015-08-27	2012-05-18	ESC_CA0463AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA0717AA	Escherichia_coli_E_816-sc-2011-08-02T09:33:27Z-1252907	ERR054694;ILLUMINA;Paired;255;ERX031740																THE SANGER CENTER	Escherichia coli								PRJEB2581	ERP000733		SAMEA1031296	ERS044483	2015-08-27	2012-04-15	ESC_CA0717AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA1353AA	KTE221	SRR633813;ILLUMINA;Paired;540;SRX179306,SRR647291;ILLUMINA;Paired;151;SRX158973,SRR633754;ILLUMINA;Paired;540;SRX179306,SRR647312;ILLUMINA;Paired;151;SRX158973	Human	Human	Homo sapiens; female	2010												Broad Institute	Escherichia coli								PRJNA163455	SRP020751		SAMN00974076	SRS410369	2015-08-27	2012-12-17	ESC_CA1353AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA1513AA	KTE163	SRR643055;ILLUMINA;Paired;192;SRX155222																Broad Institute	Escherichia coli								PRJNA157711	SRP020888		SAMN00847714	SRS410515	2015-08-27	2013-01-02	ESC_CA1513AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA3906AA	Escherichia coli 1960	traces-0lMiKln;7GeneMLST;ND;;NA		Vegetable	Medicago sativa	2011				Europe	Germany			Koblenz				FLI Neustadt-Mariensee					unknown			None	NA	NA	None	NA	NA	2015-11-05	2015-11-05	ESC_CA3906AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA3907AA	026	traces-0lJuitb;7GeneMLST;ND;;NA		Human	Human	2013				South America	Brazil			Brasilia				University of Brasilia				A	Pathogen	UPEC		UTI	NA	NA	Cystitis	NA	NA	2015-11-05	2015-11-05	ESC_CA3907AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA4117AA	EC-R410	traces-0YeDOlF;7GeneMLST;ND;;NA		Animal	Swine	2014				Asia	Thailand			Bangkok				Mahidol University					unknown			Diarrhoea	NA	NA	Diarrhoea	NA	NA	2015-11-29	2015-11-29	ESC_CA4117AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA4118AA	EC-R131	traces-0NIIYVt;7GeneMLST;ND;;NA		Animal	Swine	2014				Asia	Thailand			Bangkok				Mahidol University					unknown			Diarrhoea	NA	NA	Diarrhoea	NA	NA	2015-11-29	2015-11-29	ESC_CA4118AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA4552AA	FSIS 210115768	SRR2970227;ILLUMINA;Paired;;SRX1459454	Poultry		Animal-Turkey-Young Turkey	2014	9			North America	United States	Missouri						FDA	Escherichia coli								PRJNA292667	SRP066916		SAMN04293372	SRS1186884	2015-12-12	2015-12-03	ESC_CA4552AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA5261AA	W2-11-ERB9	ERR1218718;ILLUMINA;Paired;493;ERX1290931																SC	Escherichia coli								PRJEB11403	ERP012787		SAMEA3531851	ERS839000	2016-01-20	2016-01-20	ESC_CA5261AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA5272AA	PB293	ERR1218707;ILLUMINA;Paired;493;ERX1290920																SC	Escherichia coli								PRJEB11403	ERP012787		SAMEA3531776	ERS838925	2016-01-20	2016-01-20	ESC_CA5272AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA5352AA	PB406	ERR1218627;ILLUMINA;Paired;477;ERX1290840																SC	Escherichia coli								PRJEB11403	ERP012787		SAMEA3531727	ERS838876	2016-01-20	2016-01-20	ESC_CA5352AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA5369AA	PB259	ERR1218610;ILLUMINA;Paired;477;ERX1290823																SC	Escherichia coli								PRJEB11403	ERP012787		SAMEA3531682	ERS838831	2016-01-20	2016-01-20	ESC_CA5369AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA5375AA	PB230	ERR1218604;ILLUMINA;Paired;477;ERX1290817																SC	Escherichia coli								PRJEB11403	ERP012787		SAMEA3531669	ERS838818	2016-01-20	2016-01-20	ESC_CA5375AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA5453AA	EuSCAPE_NO018	ERR1217055;ILLUMINA;Paired;494;ERX1289268																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3538425	ERS845574	2016-01-20	2016-01-20	ESC_CA5453AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA5640AA	SH058	ERR1202023;ILLUMINA;Paired;1000;ERX1274265																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB12335	ERP013802		SAMEA3724470	ERS1031619	2016-02-01	2016-02-01	ESC_CA5640AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA5791AA	EuSCAPE_ES022	ERR1228320;ILLUMINA;Paired;499;ERX1300372																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3538894	ERS846043	2016-02-01	2016-01-27	ESC_CA5791AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA6583AA	IR60	ERR440768;ILLUMINA;Paired;318;ERX407532																BRAEMBL	Escherichia coli								PRJEB5703	ERP005124		SAMEA2382512	ERS408837	2016-02-15	2016-02-15	ESC_CA6583AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA6591AA	IR29	ERR440760;ILLUMINA;Paired;350;ERX407524																BRAEMBL	Escherichia coli								PRJEB5703	ERP005124		SAMEA2382504	ERS408829	2016-02-15	2016-02-15	ESC_CA6591AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA9005AA	YD786	GCF_001442495;Complete Genome;;;	Human	Human	Homo sapiens; urine	2012	8			North America	United States							Huashan Hospital, Fudan University	Escherichia coli								PRJNA224116			SAMN04227566		2016-03-30	2015-11-10	ESC_CA9005AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA9454AA	VRES0003	ERR1036086;ILLUMINA;Paired;500;ERX1114820																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB8770	ERP009806		SAMEA3304585	ERS683410	2016-04-01	2015-09-29	ESC_CA9454AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_CA9524AA	VRES0124	ERR998774;ILLUMINA;Paired;450;ERX1077810																The Wellcome Trust Sanger Institute	Escherichia coli								PRJEB8770	ERP009806		SAMEA3304685	ERS683510	2016-04-01	2015-09-05	ESC_CA9524AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA0998AA	EuSCAPE_SC020	ERR1374952;ILLUMINA;Paired;459;ERX1446078																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3672995	ERS980144	2016-04-27	2016-04-27	ESC_DA0998AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA1447AA	EuSCAPE_UK053	ERR1415560;ILLUMINA;Paired;464;ERX1486344																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3721259	ERS1028408	2016-05-18	2016-05-18	ESC_DA1447AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA1450AA	EuSCAPE_UK042	ERR1415550;ILLUMINA;Paired;464;ERX1486334																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3721256	ERS1028405	2016-05-18	2016-05-18	ESC_DA1450AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA1481AA	EuSCAPE_RO025	ERR1415483;ILLUMINA;Paired;464;ERX1486267																SC	Escherichia coli								PRJEB10018	ERP011196		SAMEA3673126	ERS980275	2016-05-18	2016-05-18	ESC_DA1481AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2890AA	V177	ERR1197967;ILLUMINA;Paired;1000;ERX1270226																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719150	ERS1026299	2016-06-01	2016-06-01	ESC_DA2890AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2892AA	V139	ERR1197965;ILLUMINA;Paired;1000;ERX1270224																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719148	ERS1026297	2016-06-01	2016-06-01	ESC_DA2892AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2893AA	RS371	ERR1197964;ILLUMINA;Paired;1000;ERX1270223																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719147	ERS1026296	2016-06-01	2016-06-01	ESC_DA2893AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2894AA	RS334	ERR1197963;ILLUMINA;Paired;1000;ERX1270222																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719146	ERS1026295	2016-06-01	2016-06-01	ESC_DA2894AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2895AA	RS333	ERR1197962;ILLUMINA;Paired;1000;ERX1270221																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719145	ERS1026294	2016-06-01	2016-06-01	ESC_DA2895AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2896AA	RS288	ERR1197961;ILLUMINA;Paired;1000;ERX1270220																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719144	ERS1026293	2016-06-01	2016-06-01	ESC_DA2896AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2897AA	RS254	ERR1197960;ILLUMINA;Paired;1000;ERX1270219																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719143	ERS1026292	2016-06-01	2016-06-01	ESC_DA2897AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2898AA	RS153	ERR1197959;ILLUMINA;Paired;1000;ERX1270218																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719142	ERS1026291	2016-06-01	2016-06-01	ESC_DA2898AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2899AA	RS119	ERR1197958;ILLUMINA;Paired;1000;ERX1270217																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719141	ERS1026290	2016-06-01	2016-06-01	ESC_DA2899AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2900AA	R61a	ERR1197957;ILLUMINA;Paired;1000;ERX1270216																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719134	ERS1026283	2016-06-01	2016-06-01	ESC_DA2900AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2901AA	R56	ERR1197956;ILLUMINA;Paired;1000;ERX1270215																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719133	ERS1026282	2016-06-01	2016-06-01	ESC_DA2901AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2902AA	R432	ERR1197955;ILLUMINA;Paired;1000;ERX1270214																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719140	ERS1026289	2016-06-01	2016-06-01	ESC_DA2902AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2903AA	R423	ERR1197954;ILLUMINA;Paired;1000;ERX1270213																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719139	ERS1026288	2016-06-01	2016-06-01	ESC_DA2903AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2904AA	R392	ERR1197953;ILLUMINA;Paired;1000;ERX1270212																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719138	ERS1026287	2016-06-01	2016-06-01	ESC_DA2904AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2905AA	R37	ERR1197952;ILLUMINA;Paired;1000;ERX1270211																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719132	ERS1026281	2016-06-01	2016-06-01	ESC_DA2905AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2906AA	R299	ERR1197951;ILLUMINA;Paired;1000;ERX1270210																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719137	ERS1026286	2016-06-01	2016-06-01	ESC_DA2906AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2907AA	R208	ERR1197950;ILLUMINA;Paired;1000;ERX1270209																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719136	ERS1026285	2016-06-01	2016-06-01	ESC_DA2907AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2908AA	R107	ERR1197949;ILLUMINA;Paired;1000;ERX1270208																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719135	ERS1026284	2016-06-01	2016-06-01	ESC_DA2908AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2909AA	E006910	ERR1197948;ILLUMINA;Paired;1000;ERX1270207																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719131	ERS1026280	2016-06-01	2016-06-01	ESC_DA2909AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2910AA	E003488	ERR1197947;ILLUMINA;Paired;1000;ERX1270206																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719130	ERS1026279	2016-06-01	2016-06-01	ESC_DA2910AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2911AA	37B15-13-1E	ERR1197946;ILLUMINA;Paired;1000;ERX1270205																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719125	ERS1026274	2016-06-01	2016-06-01	ESC_DA2911AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2912AA	370B15-13-2A	ERR1197945;ILLUMINA;Paired;1000;ERX1270204																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719127	ERS1026276	2016-06-01	2016-06-01	ESC_DA2912AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2913AA	232B15-13-2E	ERR1197944;ILLUMINA;Paired;1000;ERX1270203																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719126	ERS1026275	2016-06-01	2016-06-01	ESC_DA2913AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2914AA	123445	ERR1197943;ILLUMINA;Paired;1000;ERX1270202																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719129	ERS1026278	2016-06-01	2016-06-01	ESC_DA2914AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA2915AA	123074	ERR1197942;ILLUMINA;Paired;1000;ERX1270201																Justus-Liebig-Universitaet Giessen	Escherichia coli								PRJEB9568	ERP010691		SAMEA3719128	ERS1026277	2016-06-01	2016-06-01	ESC_DA2915AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA3300AA	TTSH1	ERR1351670;ILLUMINA;Paired;600;ERX1423192	Human	Human	Human; Urine	2010	9			Asia	Singapore							NATIONAL UNIVERSITY OF SINGAPORE	Escherichia coli								PRJEB13304	ERP014860		SAMEA3920422	ERS1107556	2016-06-18	2016-06-17	ESC_DA3300AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA3366AA	K71-77	traces-0zpmHlU;ILLUMINA;Paired;;NA	Human	Human	Blood	2010				Europe	Norway							Norwegian National Advisory Unit on Detection of Antimicrobial Resistance	Escherichia coli													2016-06-23	2017-06-30	ESC_DA3366AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
ESC_DA3385AA	50822286	traces-0bLzoJD;ILLUMINA;Paired;;NA	Human	Human	Feces	2014				Europe	Norway							Norwegian National Advisory Unit on Detection of Antimicrobial Resistance	Escherichia coli													2016-06-24	2016-12-27	ESC_DA3385AA	0	410	ST23 Cplx			6	4	12	1	20	18	7
