id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
.26141_1_232.13	41	21	110144	0	100.00%	98%
.26141_1_267.13	41	21	110144	0	100.00%	98%
.26141_1_268.13	41	21	110144	0	100.00%	98%
.28099_1_165.14	41	21	110144	0	100.00%	98%
.28099_1_171.11	41	21	110144	0	100.00%	98%
.28099_1_245.13	41	21	110144	0	100.00%	98%
.28099_1_325.12	41	21	110144	0	100.00%	98%
.28099_1_350.12	41	21	110144	0	100.00%	98%
.28099_1_379.13	41	21	110144	0	100.00%	98%
.28099_1_59.15	41	21	110144	0	100.00%	98%
.34154_7_158.46	41	21	5406	0	100.00%	4%
.28099_1_151.42	41	21	4394	0	97.91%	3%
.34154_7_123.58	41	21	4215	0	99.98%	3%
.28099_2_162.60	41	21	3854	0	99.97%	3%
.28099_1_145.222	41	21	3852	0	99.95%	3%
.34154_7_47.12	42	2	111332	1	100	100%
.34154_7_27.12	42	2	106743	0	100.00%	95%
.34154_7_296.19	43	2	110639	1	100	100%
.34154_7_344.18	43	2	100516	0	96.33%	90%
.28099_1_351.16	44	1	109969	1	100	100%
.28099_2_12.16	45	2	109850	1	100	100%
.28099_2_170.15	45	2	109850	0	96.57%	100%
.28099_2_174.17	46	1	109850	1	100	100%
.28099_2_235.16	47	1	109850	1	100	100%
.34154_7_348.12	48	1	109176	1	100	100%
.28099_1_300.21	49	2	106843	1	100	100%
.28099_1_51.21	49	2	106841	0	100.00%	99%
.28099_1_177.19	50	1	106794	1	100	100%
.28099_1_234.17	51	2	105253	1	100	100%
.28099_2_92.20	51	2	72890	0	98.87%	69%
.34154_7_306.14	52	10	102854	1	100	100%
.34154_7_90.23	52	10	14574	0	99.99%	14%
.34154_7_331.21	52	10	14443	0	100.00%	14%
.34154_7_375.31	52	10	14443	0	100.00%	14%
.34154_7_88.35	52	10	14443	0	100.00%	14%
.34154_7_359.20	52	10	13519	0	99.99%	13%
.34154_7_11.23	52	10	12477	0	99.34%	12%
.34154_7_172.22	52	10	11359	0	99.53%	11%
.34154_7_353.28	52	10	11359	0	99.53%	11%
.34154_7_291.22	52	10	11072	0	99.98%	10%
.28099_1_226.18	53	13	100414	1	100	100%
.28099_1_359.16	53	13	100384	0	100.00%	99%
.28099_2_166.17	53	13	100381	0	100.00%	99%
.28099_1_302.19	53	13	100349	0	100.00%	99%
.28099_1_264.19	53	13	100310	0	100.00%	99%
.28099_2_283.18	53	13	100299	0	100.00%	99%
.28099_1_343.18	53	13	100284	0	99.99%	99%
.26141_1_214.16	53	13	100273	0	100.00%	99%
.28099_1_339.16	53	13	100259	0	100.00%	99%
.28099_1_218.18	53	13	100258	0	100.00%	99%
.28099_2_88.18	53	13	100255	0	100.00%	99%
.28099_1_303.18	53	13	100254	0	100.00%	99%
.28099_1_39.19	53	13	100254	0	100.00%	99%
.28099_1_309.17	54	2	98914	1	100	100%
.28099_1_248.435	54	2	1811	0	100.00%	1%
.26141_1_230.18	55	1	98244	1	100	100%
.34154_7_333.23	56	1	83926	1	100	100%
.28099_1_104.17	57	2	80231	1	100	100%
.34154_7_361.27	57	2	19977	0	99.70%	24%
.34154_7_49.12	58	2	78786	1	100	100%
.34154_7_316.18	58	2	28131	0	100.00%	35%
.34154_7_31.10	59	4	74712	1	100	100%
.34154_7_178.24	59	4	17117	0	100.00%	22%
.34154_7_152.26	59	4	17091	0	100.00%	22%
.34154_7_84.40	59	4	14965	0	99.56%	20%
.28099_1_31.21	60	1	72478	1	100	100%
.34154_7_298.21	61	21	72038	1	100	100%
.34154_7_98.19	61	21	28762	0	100.00%	39%
.28099_1_307.27	61	21	28668	0	100.00%	39%
.28099_1_107.30	61	21	28666	0	100.00%	39%
.34154_7_23.22	61	21	28663	0	100.00%	39%
.34154_7_95.22	61	21	28660	0	100.00%	39%
.28099_1_137.25	61	21	28656	0	100.00%	39%
.28099_2_231.26	61	21	28654	0	100.00%	39%
.34154_7_68.32	61	21	28654	0	100.00%	39%
.28099_1_374.28	61	21	28571	0	100.00%	39%
.34154_7_191.36	61	21	28571	0	100.00%	39%
.28099_2_142.47	61	21	28477	0	99.80%	39%
.28099_2_150.47	61	21	25768	0	99.77%	35%
.34154_7_103.21	61	21	25457	0	100.00%	35%
.34154_7_226.19	61	21	25457	0	100.00%	35%
.34154_7_6.19	61	21	25457	0	100.00%	35%
.34154_7_14.24	61	21	20726	0	99.71%	28%
.28099_1_238.23	61	21	20560	0	100.00%	28%
.28099_1_258.46	61	21	20560	0	100.00%	28%
.28099_1_200.45	61	21	18256	0	99.67%	25%
.28099_1_222.31	61	21	13552	0	99.62%	18%
.34154_7_78.24	62	1	70351	1	100	100%
.34154_7_22.22	63	1	63214	1	100	100%
.34154_7_221.22	64	1	61824	1	100	100%
.34154_7_134.19	65	1	61754	1	100	100%
.28099_1_211.28	66	15	54832	1	100	100%
.28099_2_44.35	66	15	38587	0	98.90%	70%
.28099_1_135.41	66	15	30767	0	98.62%	56%
.28099_2_36.43	66	15	28654	0	100.00%	52%
.34154_7_267.20	66	15	25460	0	100.00%	46%
.28099_1_221.70	66	15	17748	0	99.66%	32%
.28099_1_161.75	66	15	17219	0	99.41%	31%
.28099_1_225.72	66	15	17219	0	99.41%	31%
.34154_7_323.23	66	15	14569	0	98.93%	26%
.26141_1_202.34	66	15	14552	0	99.04%	26%
.34154_7_204.23	66	15	14537	0	99.09%	26%
.34154_7_317.25	66	15	14537	0	99.09%	26%
.34154_7_367.29	66	15	14537	0	99.09%	26%
.34154_7_60.31	66	15	14537	0	99.09%	26%
.34154_7_76.24	66	15	14537	0	99.09%	26%
.34154_7_100.15	67	4	53209	1	100	100%
.34154_7_259.49	67	4	6139	0	100.00%	11%
.28099_1_152.75	67	4	4731	0	97.99%	8%
.28099_1_297.77	67	4	4380	0	98.06%	8%
.28099_1_273.28	68	1	46410	1	100	100%
.34154_7_153.45	69	22	45867	1	100	100%
.34154_7_20.40	69	22	11144	0	100.00%	24%
.34154_7_174.46	69	22	11139	0	100.00%	24%
.34154_7_202.54	69	22	11121	0	100.00%	24%
.34154_7_283.27	69	22	11121	0	100.00%	24%
.34154_7_307.51	69	22	11112	0	100.00%	24%
.34154_7_144.44	69	22	11103	0	100.00%	24%
.34154_7_254.18	69	22	11103	0	99.98%	24%
.34154_7_26.31	69	22	11103	0	100.00%	24%
.34154_7_268.30	69	22	11103	0	100.00%	24%
.34154_7_299.48	69	22	11103	0	100.00%	24%
.34154_7_189.25	69	22	11089	0	100.00%	24%
.34154_7_19.28	69	22	11089	0	100.00%	24%
.34154_7_142.22	69	22	7979	0	96.90%	17%
.34154_7_13.26	69	22	7968	0	97.03%	17%
.34154_7_3.28	69	22	7968	0	97.03%	17%
.34154_7_242.47	69	22	6512	0	100.00%	14%
.28099_1_95.44	69	22	6251	0	98.32%	13%
.28099_1_185.45	69	22	6170	0	99.01%	13%
.28099_1_188.37	69	22	6170	0	99.01%	13%
.28099_2_117.41	69	22	6170	0	99.01%	13%
.28099_2_320.47	69	22	6170	0	99.01%	13%
.28099_2_304.33	70	1	42533	1	100	100%
.34154_7_150.33	71	1	41365	1	100	100%
.28099_1_242.34	72	5	39724	1	100	100%
.28099_1_128.39	72	5	35143	0	98.47%	88%
.28099_1_229.38	72	5	34388	0	99.01%	86%
.34154_7_48.36	72	5	25102	0	96.38%	63%
.34154_7_294.15	72	5	14559	0	99.00%	36%
.34154_7_140.15	73	1	38913	1	100	100%
.28099_1_250.25	74	1	38781	1	100	100%
.34154_7_70.36	75	2	38017	1	100	100%
.34154_7_287.54	75	2	17379	0	100.00%	45%
.34154_7_106.17	76	2	34336	1	100	100%
.28099_1_112.71	76	2	4029	0	98.21%	11%
.28099_1_355.30	77	1	32315	1	100	100%
.28099_1_77.50	78	1	30210	1	100	100%
.26141_1_237.32	79	1	27389	1	100	100%
.28099_1_293.29	80	6	27358	1	100	100%
.28099_1_305.37	80	6	16719	0	100.00%	61%
.28099_2_287.32	80	6	16698	0	100.00%	61%
.28099_1_27.41	80	6	10901	0	98.83%	39%
.26141_1_224.53	80	6	9747	0	100.00%	35%
.28099_1_205.43	80	6	9570	0	100.00%	34%
.28099_1_83.26	81	5	26540	1	100	100%
.28099_2_198.32	81	5	26540	0	100.00%	100%
.28099_1_270.28	81	5	23343	0	100.00%	87%
.28099_1_274.36	81	5	12831	0	99.44%	48%
.34154_7_281.33	81	5	4523	0	98.92%	17%
.34154_7_89.19	82	1	26227	1	100	100%
.28099_1_63.33	83	4	25076	1	100	100%
.34154_7_83.21	83	4	14623	0	99.71%	58%
.34154_7_105.53	83	4	14591	0	99.72%	58%
.34154_7_25.30	83	4	12044	0	99.48%	48%
.28099_1_241.49	84	1	23963	1	100	100%
.34154_7_274.25	85	1	23069	1	100	100%
.34154_7_304.14	86	5	22904	1	100	100%
.34154_7_276.17	86	5	14217	0	100.00%	62%
.34154_7_104.34	86	5	12340	0	100.00%	53%
.34154_7_303.17	86	5	12319	0	99.98%	53%
.34154_7_8.53	86	5	12117	0	99.52%	52%
.34154_7_160.26	87	2	22372	1	100	100%
.34154_7_179.49	87	2	15237	0	95.04%	68%
.34154_7_176.25	88	1	22219	1	100	100%
.34154_7_345.41	89	1	22182	1	100	100%
.34154_7_44.40	90	1	21565	1	100	100%
.34154_7_42.23	91	1	21318	1	100	100%
.28099_1_189.29	92	7	20928	1	100	100%
.26141_1_290.60	92	7	11378	0	100.00%	54%
.34154_7_185.35	92	7	11180	0	99.99%	53%
.34154_7_40.39	92	7	11178	0	99.99%	53%
.34154_7_32.21	92	7	11164	0	99.99%	53%
.26141_1_149.88	92	7	7687	0	99.99%	36%
.28099_1_10.51	92	7	5951	0	100.00%	28%
.26141_1_291.60	93	12	20200	1	100	100%
.28099_1_236.57	93	12	20191	0	100.00%	99%
.28099_1_143.61	93	12	20188	0	100.00%	99%
.28099_1_370.38	93	12	18135	0	99.96%	89%
.26141_1_197.40	93	12	17509	0	99.99%	86%
.26141_1_160.37	93	12	17432	0	99.99%	86%
.28099_1_365.38	93	12	17386	0	99.99%	86%
.26141_1_194.39	93	12	16954	0	99.99%	83%
.28099_2_251.124	93	12	13155	0	100.00%	65%
.26141_1_271.48	93	12	9946	0	100.00%	49%
.28099_2_215.46	93	12	9768	0	100.00%	48%
.28099_1_347.182	93	12	7116	0	99.18%	35%
.34154_7_380.31	94	4	19444	1	100	100%
.34154_7_50.22	94	4	11524	0	95.98%	59%
.34154_7_54.22	94	4	11426	0	96.33%	58%
.34154_7_262.32	94	4	9259	0	100.00%	47%
.26141_1_192.52	95	2	18949	1	100	100%
.26141_1_193.66	95	2	14313	0	99.99%	75%
.34154_7_63.29	96	2	18777	1	100	100%
.34154_7_87.31	96	2	5564	0	98.89%	29%
.34154_7_184.13	97	3	18681	1	100	100%
.34154_7_197.22	97	3	13980	0	99.99%	74%
.34154_7_210.27	97	3	11858	0	100.00%	63%
.34154_7_368.28	98	4	17256	1	100	100%
.34154_7_119.39	98	4	14555	0	99.79%	84%
.34154_7_62.25	98	4	14555	0	99.77%	84%
.34154_7_118.21	98	4	9734	0	99.24%	56%
.28099_2_121.49	99	6	16457	1	100	100%
.28099_1_280.80	99	6	5704	0	100.00%	34%
.26141_1_162.86	99	6	5702	0	100.00%	34%
.26141_1_296.81	99	6	5688	0	100.00%	34%
.28099_1_214.135	99	6	5678	0	100.00%	34%
.28099_1_329.170	99	6	5678	0	100.00%	34%
.34154_7_235.36	100	1	16158	1	100	100%
.34154_7_131.25	101	2	15415	1	100	100%
.34154_7_46.16	101	2	11865	0	100.00%	76%
.34154_7_252.24	102	1	14852	1	100	100%
.28099_1_357.33	103	2	14470	1	100	100%
.28099_1_253.42	103	2	11512	0	100.00%	79%
.28099_1_335.39	104	1	14297	1	100	100%
.34154_7_213.23	105	1	14159	1	100	100%
.28099_1_157.66	106	1	14042	1	100	100%
.28099_2_138.37	107	1	13325	1	100	100%
.34154_7_318.37	108	3	13061	1	100	100%
.34154_7_130.37	108	3	11228	0	99.55%	85%
.34154_7_138.41	108	3	10532	0	99.99%	80%
.28099_2_96.42	109	1	12667	1	100	100%
.34154_7_77.35	110	1	12465	1	100	100%
.34154_7_136.40	111	1	12086	1	100	100%
.34154_7_56.55	112	1	11872	1	100	100%
.28099_1_79.36	113	29	11438	1	100	100%
.26141_1_152.50	113	29	4227	0	98.72%	36%
.26141_1_171.52	113	29	4211	0	99.10%	36%
.28099_1_187.50	113	29	4196	0	99.45%	36%
.28099_1_337.46	113	29	4196	0	99.45%	36%
.28099_1_49.43	113	29	4196	0	99.45%	36%
.28099_1_252.52	113	29	4176	0	99.93%	36%
.28099_1_89.44	113	29	4176	0	99.93%	36%
.26141_1_181.53	113	29	4173	0	100.00%	36%
.28099_2_316.45	113	29	4173	0	100.00%	36%
.26141_1_286.55	113	29	4164	0	100.00%	36%
.26141_1_285.53	113	29	4139	0	100.00%	36%
.28099_1_168.42	113	29	4130	0	100.00%	36%
.26141_1_258.55	113	29	4121	0	100.00%	36%
.26141_1_209.49	113	29	4116	0	100.00%	35%
.28099_1_85.49	113	29	4113	0	100.00%	35%
.28099_1_141.52	113	29	4109	0	100.00%	35%
.26141_1_170.55	113	29	4092	0	100.00%	35%
.28099_1_155.46	113	29	4092	0	100.00%	35%
.28099_1_156.42	113	29	4092	0	100.00%	35%
.28099_1_208.40	113	29	4092	0	100.00%	35%
.28099_1_26.42	113	29	4092	0	100.00%	35%
.28099_1_268.48	113	29	4092	0	100.00%	35%
.28099_1_288.45	113	29	4092	0	100.00%	35%
.28099_1_327.45	113	29	4092	0	100.00%	35%
.28099_1_334.45	113	29	4092	0	100.00%	35%
.28099_2_105.42	113	29	4092	0	100.00%	35%
.28099_1_326.44	113	29	4090	0	100.00%	35%
.34154_7_86.41	113	29	1717	0	96.51%	15%
.34154_7_330.57	114	1	11382	1	100	100%
.34154_7_240.41	115	1	11208	1	100	100%
.26141_1_220.82	116	1	10866	1	100	100%
.34154_7_207.32	117	1	10175	1	100	100%
.34154_7_164.34	118	1	9552	1	100	100%
.34154_7_351.23	119	4	9364	1	100	100%
.34154_7_313.52	119	4	7314	0	99.97%	78%
.26141_1_240.53	119	4	7313	0	99.97%	78%
.34154_7_263.23	119	4	6655	0	100.00%	71%
.26141_1_244.62	120	4	9324	1	100	100%
.26141_1_270.58	120	4	9324	0	99.99%	100%
.26141_1_299.57	120	4	9324	0	99.98%	100%
.28099_1_2.54	120	4	9324	0	99.98%	100%
.28099_2_295.34	121	4	9052	1	100	100%
.28099_1_256.39	121	4	4858	0	98.81%	53%
.28099_1_220.39	121	4	4115	0	100.00%	45%
.26141_1_201.52	121	4	4097	0	100.00%	45%
.26141_1_157.43	122	10	8767	1	100	100%
.28099_1_148.49	122	10	4308	0	98.51%	49%
.26141_1_279.63	122	10	3482	0	95.40%	39%
.26141_1_277.59	122	10	3449	0	95.74%	39%
.26141_1_255.66	122	10	3441	0	95.87%	39%
.26141_1_280.64	122	10	3439	0	95.93%	39%
.26141_1_278.66	122	10	3435	0	95.98%	39%
.26141_1_151.54	122	10	3415	0	96.31%	38%
.28099_1_175.46	122	10	3415	0	96.31%	38%
.26141_1_156.53	122	10	3414	0	96.31%	38%
.28099_1_127.68	123	40	8412	1	100	100%
.28099_1_116.93	123	40	5740	0	98.64%	68%
.28099_2_97.72	123	40	5700	0	99.77%	67%
.26141_1_247.74	123	40	5112	0	98.47%	60%
.26141_1_169.79	123	40	5085	0	98.49%	60%
.26141_1_221.78	123	40	5083	0	99.31%	60%
.26141_1_161.81	123	40	5082	0	98.48%	60%
.28099_2_113.82	123	40	5075	0	98.48%	60%
.28099_1_169.81	123	40	5072	0	99.11%	60%
.26141_1_242.82	123	40	5069	0	98.48%	60%
.26141_1_272.74	123	40	5069	0	98.46%	60%
.28099_1_66.84	123	40	5057	0	99.82%	60%
.28099_1_131.63	123	40	5052	0	99.62%	60%
.28099_1_42.76	123	40	5047	0	99.74%	59%
.28099_2_239.87	123	40	5046	0	99.43%	59%
.28099_2_60.65	123	40	5037	0	99.92%	59%
.28099_1_266.64	123	40	5036	0	99.94%	59%
.28099_1_160.77	123	40	5034	0	99.56%	59%
.28099_1_115.65	123	40	5031	0	99.96%	59%
.28099_1_90.206	123	40	5031	0	99.98%	59%
.26141_1_159.84	123	40	5029	0	99.26%	59%
.28099_1_331.77	123	40	5028	0	99.26%	59%
.28099_1_123.79	123	40	5022	0	99.44%	59%
.26141_1_254.82	123	40	5012	0	99.60%	59%
.28099_1_377.82	123	40	5010	0	99.64%	59%
.26141_1_178.81	123	40	5009	0	99.66%	59%
.28099_1_181.82	123	40	5005	0	99.74%	59%
.28099_1_78.78	123	40	5001	0	99.82%	59%
.28099_2_206.82	123	40	4990	0	100.00%	59%
.26141_1_140.77	123	40	4988	0	100.00%	59%
.26141_1_195.79	123	40	4988	0	100.00%	59%
.28099_1_129.227	123	40	4988	0	100.00%	59%
.28099_1_261.72	123	40	4988	0	100.00%	59%
.28099_1_289.72	123	40	4988	0	100.00%	59%
.28099_1_311.80	123	40	4988	0	100.00%	59%
.28099_1_341.74	123	40	4988	0	100.00%	59%
.28099_1_366.83	123	40	4988	0	100.00%	59%
.28099_2_101.87	123	40	4988	0	100.00%	59%
.28099_2_263.78	123	40	4988	0	99.98%	59%
.28099_2_76.81	123	40	4988	0	100.00%	59%
.28099_1_118.149	124	1	7602	1	100	100%
.28099_1_163.35	125	1	7376	1	100	100%
.34154_7_224.29	126	1	7330	1	100	100%
.28099_1_313.61	127	1	7270	1	100	100%
.34154_7_194.47	128	2	7024	1	100	100%
.34154_7_112.40	128	2	1862	0	97.21%	26%
.28099_1_367.37	129	1	6857	1	100	100%
.34154_7_122.32	130	1	6838	1	100	100%
.28099_1_272.47	131	2	6774	1	100	100%
.26141_1_174.52	131	2	6757	0	100.00%	99%
.28099_1_125.73	132	1	5287	1	100	100%
.34154_7_110.26	133	1	4770	1	100	100%
.28099_1_94.224	134	2	1810	1	100	100%
.28099_1_61.126	134	2	1367	0	100.00%	75%
